school_name,school_number,region,level3_plus_22_23,student_count_22_23,level3_plus_23_24,student_count_23_24,exam
ADAMS MIDDLE SCHOOL,0041,TN4,0.18,209,0.24,139,Grade 6 ELA
BARRINGTON MIDDLE SCHOOL,0086,M2,0.58,473,0.54,395,Grade 6 ELA
BENITO MIDDLE SCHOOL,0201,M1,0.53,359,0.63,347,Grade 6 ELA
BRANDON SUCCESS CENTER,4332,CN,NA,NA,NA,NA,Grade 6 ELA
BUCHANAN MIDDLE SCHOOL,0561,M1,0.19,267,0.24,193,Grade 6 ELA
BURNETT MIDDLE SCHOOL,0631,M1,0.26,193,0.23,171,Grade 6 ELA
BURNS MIDDLE SCHOOL,0651,M2,0.46,370,0.48,376,Grade 6 ELA
CARROLLWOOD K-8 SCHOOL,0701,E3,NA,NA,0.47,64,Grade 6 ELA
CARVER EXCEPTIONAL CENTER,0063,CN,NA,NA,NA,NA,Grade 6 ELA
COLEMAN MIDDLE SCHOOL,0921,M2,0.71,323,0.76,317,Grade 6 ELA
COLLINS PK-8 SCHOOL,0065,E5,NA,NA,0.47,183,Grade 6 ELA
DAVIDSEN MIDDLE SCHOOL,1080,M1,0.36000000000000004,306,0.37,270,Grade 6 ELA
DOROTHY C YORK PK-8 MAGNET SCHOOL,0011,E5,0.61,223,0.75,157,Grade 6 ELA
DOROTHY THOMAS CENTER,4321,CN,NA,NA,NA,NA,Grade 6 ELA
DOWDELL MIDDLE MAGNET SCHOOL,0842,M1,0.25,156,0.27,161,Grade 6 ELA
DR CARTER G WOODSON K-8 SCHOOL,0682,TN4,0.19,125,0.22,82,Grade 6 ELA
EISENHOWER MIDDLE SCHOOL,1324,M1,0.22999999999999998,343,0.27,315,Grade 6 ELA
FARNELL MIDDLE SCHOOL,1441,M2,0.67,426,0.72,357,Grade 6 ELA
FERRELL MIDDLE MAGNET SCHOOL,3001,M2,0.42,203,0.45,147,Grade 6 ELA
FRANKLIN MIDDLE MAGNET SCHOOL,1542,M2,0.37,141,0.44,105,Grade 6 ELA
GIUNTA MIDDLE SCHOOL,0052,TN4,0.22,266,0.19,216,Grade 6 ELA
GRECO MIDDLE MAGNET SCHOOL,1781,M1,0.12,206,0.23,211,Grade 6 ELA
HILL MIDDLE SCHOOL,1871,M1,0.4,308,0.45,227,Grade 6 ELA
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.5800000000000001,69,0.69,52,Grade 6 ELA
HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,5371,CN,NA,NA,NA,NA,Grade 6 ELA
JENNINGS MIDDLE SCHOOL,2042,TN4,0.12,249,0.15,239,Grade 6 ELA
LIBERTY MIDDLE SCHOOL,2471,M1,0.48000000000000004,349,0.43,254,Grade 6 ELA
LUTZ K-8 SCHOOL,2561,E3,0.47000000000000003,79,0.57,81,Grade 6 ELA
MADISON MIDDLE SCHOOL,2651,M2,0.36,208,0.36,215,Grade 6 ELA
MANISCALCO K-8 SCHOOL,2771,E3,0.48,71,0.71,58,Grade 6 ELA
MANN MIDDLE SCHOOL,2801,M1,0.19999999999999998,235,0.34,204,Grade 6 ELA
MARSHALL MIDDLE MAGNET SCHOOL,2841,M2,0.33,380,0.37,364,Grade 6 ELA
MARTINEZ MIDDLE SCHOOL,2851,M1,0.7200000000000001,392,0.74,362,Grade 6 ELA
MCLANE MIDDLE SCHOOL,0322,M1,0.15000000000000002,261,0.22,180,Grade 6 ELA
MEMORIAL MIDDLE SCHOOL,2882,TN4,0.2,216,0.25,209,Grade 6 ELA
MONROE MIDDLE MAGNET SCHOOL,2362,M2,0.26,137,0.22,91,Grade 6 ELA
MULRENNAN MIDDLE SCHOOL,3131,M2,0.5,398,0.47,330,Grade 6 ELA
NORTH TAMPA SUCCESS CENTER,4331,CN,NA,NA,NA,NA,Grade 6 ELA
ORANGE GROVE MIDDLE MAGNET SCHOOL,3241,M2,0.36000000000000004,174,0.5,169,Grade 6 ELA
PACE CENTER FOR GIRLS,5054,CN,NA,NA,NA,NA,Grade 6 ELA
PIERCE MIDDLE SCHOOL,0082,M1,0.21,275,0.21,264,Grade 6 ELA
PIZZO K-8 SCHOOL,3381,TN4,0.26,83,0.26,53,Grade 6 ELA
PROGRESS VILLAGE MIDDLE MAGNET,3561,M2,0.46,269,0.58,274,Grade 6 ELA
RAMPELLO K-8 MAGNET SCHOOL,4251,E1,0.67,107,0.58,121,Grade 6 ELA
RANDALL MIDDLE SCHOOL,3620,M2,0.71,408,0.7,415,Grade 6 ELA
RODGERS MIDDLE MAGNET SCHOOL,3771,M2,0.35000000000000003,362,0.36,304,Grade 6 ELA
ROLAND PARK K-8 MAGNET SCHOOL,3802,E1,0.69,112,0.69,120,Grade 6 ELA
SERGEANT PAUL R SMITH MIDDLE SCHOOL,0074,M1,0.39,175,0.45,209,Grade 6 ELA
SHIELDS MIDDLE SCHOOL,0055,TN4,0.17,593,0.22,427,Grade 6 ELA
SIMMONS EXCEPTIONAL CENTER,4002,CN,NA,NA,NA,NA,Grade 6 ELA
SLIGH MIDDLE SCHOOL,1482,TN4,0.18,221,0.31,195,Grade 6 ELA
STEWART MIDDLE MAGNET SCHOOL,0284,M2,0.42,312,0.45,289,Grade 6 ELA
SULPHUR SPRINGS K-8 SCHOOL,4201,TN4,0.12,70,0.08,49,Grade 6 ELA
TINKER K-8 SCHOOL,4381,E1,0.61,49,0.54,76,Grade 6 ELA
TOMLIN MIDDLE SCHOOL,3442,M2,0.37999999999999995,497,0.35,442,Grade 6 ELA
TURKEY CREEK MIDDLE SCHOOL,4522,M2,0.26,363,0.25,346,Grade 6 ELA
TURNER-BARTELS K-8 SCHOOL,0069,E3,0.44999999999999996,204,0.52,170,Grade 6 ELA
WALKER MIDDLE MAGNET SCHOOL,4611,M1,0.76,346,0.81,340,Grade 6 ELA
WEBB MIDDLE SCHOOL,4442,M1,0.25,264,0.28,262,Grade 6 ELA
WILLIAMS MIDDLE MAGNET SCHOOL,4741,M1,0.6900000000000001,297,0.69,287,Grade 6 ELA
WILSON MIDDLE SCHOOL,4761,M2,0.68,208,0.75,194,Grade 6 ELA
YOUNG MIDDLE MAGNET SCHOOL,5041,M1,0.25,125,0.34,88,Grade 6 ELA
ADAMS MIDDLE SCHOOL,0041,TN4,0.13,206,0.09,138,Grade 6 Math
BARRINGTON MIDDLE SCHOOL,0086,M2,0.52,464,0.4,385,Grade 6 Math
BENITO MIDDLE SCHOOL,0201,M1,0.38,308,0.38,311,Grade 6 Math
BRANDON SUCCESS CENTER,4332,CN,NA,NA,NA,NA,Grade 6 Math
BUCHANAN MIDDLE SCHOOL,0561,M1,0.2,272,0.1,193,Grade 6 Math
BURNETT MIDDLE SCHOOL,0631,M1,0.18000000000000002,192,0.09,173,Grade 6 Math
BURNS MIDDLE SCHOOL,0651,M2,0.35,337,0.41,355,Grade 6 Math
CARROLLWOOD K-8 SCHOOL,0701,E3,NA,NA,0.3,63,Grade 6 Math
CARVER EXCEPTIONAL CENTER,0063,CN,NA,NA,NA,NA,Grade 6 Math
COLEMAN MIDDLE SCHOOL,0921,M2,0.6900000000000001,301,0.71,298,Grade 6 Math
COLLINS PK-8 SCHOOL,0065,E5,NA,NA,0.27,175,Grade 6 Math
DAVIDSEN MIDDLE SCHOOL,1080,M1,0.23,295,0.26,248,Grade 6 Math
DOROTHY C YORK PK-8 MAGNET SCHOOL,0011,E5,0.51,210,0.57,130,Grade 6 Math
DOROTHY THOMAS CENTER,4321,CN,NA,NA,NA,NA,Grade 6 Math
DOWDELL MIDDLE MAGNET SCHOOL,0842,M1,0.16999999999999998,160,0.13,158,Grade 6 Math
DR CARTER G WOODSON K-8 SCHOOL,0682,TN4,0.15,124,0.14,79,Grade 6 Math
EISENHOWER MIDDLE SCHOOL,1324,M1,0.13,381,0.11,305,Grade 6 Math
FARNELL MIDDLE SCHOOL,1441,M2,0.52,390,0.58,319,Grade 6 Math
FERRELL MIDDLE MAGNET SCHOOL,3001,M2,0.4,197,0.2,143,Grade 6 Math
FRANKLIN MIDDLE MAGNET SCHOOL,1542,M2,0.26,138,0.23,103,Grade 6 Math
GIUNTA MIDDLE SCHOOL,0052,TN4,0.08,265,0.06,191,Grade 6 Math
GRECO MIDDLE MAGNET SCHOOL,1781,M1,0.08,216,0.08,207,Grade 6 Math
HILL MIDDLE SCHOOL,1871,M1,0.35,283,0.38,221,Grade 6 Math
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.43000000000000005,68,0.33,51,Grade 6 Math
HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,5371,CN,NA,NA,NA,NA,Grade 6 Math
JENNINGS MIDDLE SCHOOL,2042,TN4,0.09,249,0.06,231,Grade 6 Math
LIBERTY MIDDLE SCHOOL,2471,M1,0.35000000000000003,319,0.3,240,Grade 6 Math
LUTZ K-8 SCHOOL,2561,E3,0.41000000000000003,78,0.39,83,Grade 6 Math
MADISON MIDDLE SCHOOL,2651,M2,0.3,207,0.23,212,Grade 6 Math
MANISCALCO K-8 SCHOOL,2771,E3,0.5800000000000001,71,0.52,50,Grade 6 Math
MANN MIDDLE SCHOOL,2801,M1,0.19,231,0.18,204,Grade 6 Math
MARSHALL MIDDLE MAGNET SCHOOL,2841,M2,0.22000000000000003,366,0.17,343,Grade 6 Math
MARTINEZ MIDDLE SCHOOL,2851,M1,0.67,357,0.55,345,Grade 6 Math
MCLANE MIDDLE SCHOOL,0322,M1,0.09,265,0.17,173,Grade 6 Math
MEMORIAL MIDDLE SCHOOL,2882,TN4,0.26,216,0.23,209,Grade 6 Math
MONROE MIDDLE MAGNET SCHOOL,2362,M2,0.13,135,0.1,91,Grade 6 Math
MULRENNAN MIDDLE SCHOOL,3131,M2,0.35,391,0.33,331,Grade 6 Math
NORTH TAMPA SUCCESS CENTER,4331,CN,NA,NA,NA,NA,Grade 6 Math
ORANGE GROVE MIDDLE MAGNET SCHOOL,3241,M2,0.2,173,0.22,167,Grade 6 Math
PACE CENTER FOR GIRLS,5054,CN,NA,NA,NA,NA,Grade 6 Math
PIERCE MIDDLE SCHOOL,0082,M1,0.24,278,0.22,260,Grade 6 Math
PIZZO K-8 SCHOOL,3381,TN4,0.2,85,0.09,53,Grade 6 Math
PROGRESS VILLAGE MIDDLE MAGNET,3561,M2,0.36000000000000004,272,0.34,274,Grade 6 Math
RAMPELLO K-8 MAGNET SCHOOL,4251,E1,0.5,107,0.47,120,Grade 6 Math
RANDALL MIDDLE SCHOOL,3620,M2,0.5900000000000001,376,0.52,384,Grade 6 Math
RODGERS MIDDLE MAGNET SCHOOL,3771,M2,0.30000000000000004,346,0.22,288,Grade 6 Math
ROLAND PARK K-8 MAGNET SCHOOL,3802,E1,0.6499999999999999,112,0.56,106,Grade 6 Math
SERGEANT PAUL R SMITH MIDDLE SCHOOL,0074,M1,0.36000000000000004,159,0.27,200,Grade 6 Math
SHIELDS MIDDLE SCHOOL,0055,TN4,0.1,584,0.07,444,Grade 6 Math
SIMMONS EXCEPTIONAL CENTER,4002,CN,NA,NA,NA,NA,Grade 6 Math
SLIGH MIDDLE SCHOOL,1482,TN4,0.15,220,0.08,194,Grade 6 Math
STEWART MIDDLE MAGNET SCHOOL,0284,M2,0.21000000000000002,220,0.13,214,Grade 6 Math
