y,d,s,g,c,fixorder,sub,inexp_tot,exp_tot,total_unk_tot,total_tot,inexp_r_tot,ineff_tot,otheval_tot,noeval_tot,ineff_r_tot,temponly_tot
1718,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,3,34,0,37,8.1,0,35,2,0,1
1718,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,3,37,0,40,7.5,1,36,3,2.5,1
1819,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1920,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,3,45,0,48,6.3,0,0,48,0,0
1920,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2021,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,2,49,0,51,3.9,0,47,4,0,1
2021,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0005,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2122,29,0005,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,6,46,0,52,11.5,1,48,3,1.92,1
2122,29,0005,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0005,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,0005,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,14,42,0,56,25,0,54,2,0,3
2223,29,0005,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0005,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2021,29,0009,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,16,41,0,57,28.1,0,53,4,0,2
2021,29,0009,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0009,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2122,29,0009,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,15,40,0,55,27.3,1,51,3,1.82,3
2122,29,0009,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0009,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,0009,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,21,35,0,56,37.5,0,53,3,0,9
