school_level,current_school,current_placement,zoned_school,asian,black,hispanic,indian,multi,white,grand_total,total_row
Elem,ALAFIA ELEMENTARY,Choice,Alafia,0,0,15,0,6,15,36,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Bailey,0,0,3,0,0,0,3,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Boyette Springs,0,3,6,0,0,3,12,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Brooker,12,0,12,0,6,48,78,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Buckhorn,0,0,12,0,0,15,27,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Cimino,0,3,9,0,3,24,39,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Collins,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Dawson,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Folsom,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Frost,3,0,3,0,0,0,6,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Gibsonton,0,0,6,0,0,3,9,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Ippolito,0,3,15,0,0,12,30,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Kingswood,0,3,15,0,3,36,57,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Lamb,9,0,15,0,6,6,36,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Limona,0,0,0,0,0,9,9,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Lithia Springs,0,3,0,0,0,12,15,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Lopez,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Mango,3,0,9,0,0,0,12,FALSE
Elem,ALAFIA ELEMENTARY,Choice,McDonald,0,0,0,0,0,6,6,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Mintz,0,0,6,0,0,9,15,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Nelson,0,0,21,0,3,30,54,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Pinecrest,0,0,3,0,0,18,21,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Pride,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Riverview,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Schmidt,0,0,0,0,0,6,6,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Seffner,0,0,0,0,3,9,12,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Sessums,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Stowers,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Summerfield Crossings,0,0,6,0,3,6,15,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Symmes,0,9,6,0,0,6,21,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Trapnell,0,0,0,0,6,0,6,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Valrico,0,0,0,0,0,9,9,FALSE
Elem,ALAFIA ELEMENTARY,Choice,Yates,0,6,9,0,0,12,27,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Alafia,18,111,306,0,123,627,1185,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Buckhorn,0,0,3,0,0,0,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Cimino,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Frost,3,0,0,0,0,0,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Lamb,0,0,3,0,0,0,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Nelson,0,0,3,0,0,3,6,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Riverview,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Schmidt,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Seffner,0,3,0,0,0,0,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Sessums,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Symmes,0,0,0,0,3,0,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Valrico,0,0,0,0,0,3,3,FALSE
Elem,ALAFIA ELEMENTARY,Neighborhood,Yates,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Alexander,0,0,12,0,0,0,12,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Bay Crest,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Blank/Bad Addr,0,0,6,0,0,0,6,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Claywell,0,0,0,0,0,3,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Cleveland,0,0,9,0,0,0,9,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Colson,0,3,3,0,3,0,9,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Crestwood,0,3,24,0,3,0,30,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Dickenson,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Edison,0,6,3,0,0,0,9,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Egypt Lake,0,0,15,0,0,0,15,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Forest Hills,3,0,12,0,0,0,15,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Foster,0,3,3,0,0,0,6,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,James,0,3,3,0,0,0,6,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Kenly,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Kimbell,0,0,6,0,0,0,6,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Miles,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Morgan Woods,0,0,6,0,0,0,6,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Nelson,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Oak Grove,0,0,21,0,0,0,21,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Robles,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Sheehy,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Tampa Bay Boulevard,0,0,12,0,0,0,12,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Temple Terrace,0,0,0,0,0,6,6,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Thonotosassa,0,3,0,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Town and Country,0,0,6,0,0,0,6,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Twin Lakes,0,0,15,0,0,0,15,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Washington,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,West Tampa,0,0,9,0,0,0,9,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Witter,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Choice,Woodson,0,0,0,0,0,3,3,FALSE
Elem,ALEXANDER ELEMENTARY,Hope Sch,Mendenhall,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Hope Sch,Temple Terrace,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Neighborhood,Alexander,9,12,1086,0,36,48,1191,FALSE
Elem,ALEXANDER ELEMENTARY,Neighborhood,Bellamy,0,0,6,0,0,0,6,FALSE
Elem,ALEXANDER ELEMENTARY,Neighborhood,Crestwood,3,3,30,0,3,3,42,FALSE
Elem,ALEXANDER ELEMENTARY,Neighborhood,Davis,0,0,3,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Neighborhood,Kenly,0,3,0,0,0,0,3,FALSE
Elem,ALEXANDER ELEMENTARY,Neighborhood,Mendenhall,0,0,6,0,0,0,6,FALSE
Elem,ALEXANDER ELEMENTARY,Neighborhood,Twin Lakes,0,0,3,0,0,0,3,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Anderson,0,3,0,0,0,3,6,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Bing,0,0,3,0,0,0,3,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Chiaramonte,0,6,0,0,0,6,12,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Foster,0,0,0,0,0,3,3,FALSE
Elem,ANDERSON ELEMENTARY,Choice,James,0,0,3,0,0,0,3,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Lanier,3,0,12,0,0,9,24,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Lutz,0,3,0,0,0,0,3,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Mitchell,0,0,0,0,9,0,9,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Mort,0,0,0,0,6,0,6,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Riverview,0,3,0,0,0,0,3,FALSE
Elem,ANDERSON ELEMENTARY,Choice,Tampa Bay Boulevard,0,0,0,0,0,3,3,FALSE
Elem,ANDERSON ELEMENTARY,Choice,West Shore,0,0,6,0,9,6,21,FALSE
Elem,ANDERSON ELEMENTARY,Neighborhood,Anderson,45,120,168,0,108,288,729,FALSE
Elem,ANDERSON ELEMENTARY,Neighborhood,Chiaramonte,0,0,0,0,0,3,3,FALSE
Elem,ANDERSON ELEMENTARY,Neighborhood,Gorrie,0,0,3,0,0,0,3,FALSE
Elem,ANDERSON ELEMENTARY,Neighborhood,Washington,0,0,0,0,3,0,3,FALSE
Elem,APOLLO BEACH ELEMENTARY,Choice,Apollo Beach,0,0,0,0,6,0,6,FALSE
Elem,APOLLO BEACH ELEMENTARY,Choice,Belmont,0,0,12,0,0,9,21,FALSE
Elem,APOLLO BEACH ELEMENTARY,Choice,Blank/Bad Addr,0,0,0,0,0,9,9,FALSE
Elem,APOLLO BEACH ELEMENTARY,Choice,Boyette Springs,0,0,0,0,0,6,6,FALSE
