zoned_school,current_placement,current_school,school_level,asian,black,hispanic,indian,multi,white,grand_total,file
Blank/Bad Addr,Charter,ADVANTAGE ACADEMY OF HILLSBOROUGH,K-8,NA,NA,10,NA,1,5,16,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,NA,2,2,NA,NA,NA,4,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,BRIDGEPREP ACADEMY OF TAMPA,K-8,NA,3,4,NA,NA,NA,7,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,NA,1,1,NA,1,5,8,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,CREEKSIDE CHARTER ACADEMY,K-8,NA,1,2,NA,NA,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,DR KIRAN C PATEL ELEMENTARY,Elem,3,8,3,NA,1,10,25,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,EXCELSIOR PREP CHARTER SCHOOL,Elem,NA,2,2,NA,NA,NA,4,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,HENDERSON HAMMOCK CHARTER SCH,K-8,1,NA,3,NA,1,1,6,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,HILLSBOROUGH ACAD MATH SCIENCE,K-8,2,2,3,NA,1,3,11,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,HORIZON CHARTER SCH OF TAMPA,K-8,NA,NA,4,NA,NA,1,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,INDEPENDENCE ACADEMY,K-8,NA,NA,1,NA,NA,16,17,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,KIDS COMMU COLLEGE SOUTHEAST,K-8,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,LEARNING GATE COMMUNITY,K-8,4,2,40,NA,26,115,187,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,LUTZ PREPARATORY SCHOOL,K-8,8,10,32,NA,13,67,130,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,NAVIGATOR ACADEMY OF LEADERSHI,K-8,NA,1,1,NA,3,4,9,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,NEW SPRINGS SCHOOL,K-8,NA,4,NA,NA,NA,3,7,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,PLATO ACADEMY TAMPA CHARTER SCH,K-8,2,1,2,NA,2,15,22,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,SLAM ACADEMY AT APOLLO BEACH,K-8,NA,1,NA,NA,1,4,6,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,SLAM ACADEMY TAMPA ELEMENTARY,Elem,NA,2,9,NA,2,1,14,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,SUNLAKE ACAD OF MATH & SCIENCE,K-8,29,19,80,1,14,97,240,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,TRINITY SCHOOL FOR CHILDREN,K-8,NA,3,10,NA,NA,2,15,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,VALRICO LAKE ADVANTAGE ACAD,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,VICTORY CHARTER SCHOOL TAMPA,Elem,3,3,3,1,1,4,15,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,WALTON ACADEMY,Elem,NA,3,NA,NA,NA,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,WATERSET CHARTER SCHOOL,K-8,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,WINTHROP CHARTER SCHOOL,K-8,NA,1,NA,NA,NA,2,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,WOODMONT CHARTER SCHOOL,K-8,NA,1,2,NA,NA,2,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,ALEXANDER ELEMENTARY,Elem,NA,NA,2,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BAILEY ELEMENTARY,Elem,NA,NA,3,NA,NA,4,7,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BAY CREST ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BELLAMY ELEMENTARY,Elem,NA,NA,3,NA,NA,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BEVIS ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BROOKER ELEMENTARY,Elem,NA,NA,1,NA,NA,2,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BRYAN PLANT CITY ELEMENTARY,Elem,NA,NA,6,NA,2,1,9,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BRYANT ELEMENTARY,Elem,NA,NA,NA,NA,1,9,10,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BURNEY ELEMENTARY,Elem,NA,NA,NA,NA,NA,4,4,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CANNELLA ELEMENTARY,Elem,NA,NA,1,NA,1,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CARROLLWOOD K-8 SCHOOL,K-8,NA,1,2,NA,NA,5,8,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CHIARAMONTE ELEMENTARY,Elem,NA,1,2,NA,NA,2,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CHILES ELEMENTARY,Elem,1,6,6,NA,NA,11,24,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CITRUS PARK ELEMENTARY,Elem,NA,1,5,NA,1,7,14,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CLARK ELEMENTARY,Elem,7,7,1,NA,2,12,29,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CLAYWELL ELEMENTARY,Elem,NA,NA,6,NA,NA,3,9,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,COLLINS PK-8 SCHOOL,K-8,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CORK ELEMENTARY,Elem,NA,NA,2,NA,1,3,6,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CRESTWOOD ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,DAVIS ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,DEER PARK ELEMENTARY,Elem,NA,NA,3,NA,1,1,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,DESOTO ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,DOVER ELEMENTARY,Elem,NA,1,1,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,EDISON ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,EGYPT LAKE ELEMENTARY,Elem,NA,NA,1,NA,1,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,ESSRIG ELEMENTARY,Elem,NA,NA,2,NA,NA,1,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,FOLSOM ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,GRADY ELEMENTARY,Elem,NA,NA,2,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
