zoned_school,current_placement,asian,black,hispanic,indian,multi,white,grand_total
Adams,Charter,7,27,99,0,7,62,202
Adams,Choice,4,26,61,0,14,50,155
Adams,Hope Sch,0,1,1,0,0,0,2
Adams,Magnet,6,72,81,2,10,53,224
Adams,Neighborhood,10,165,288,3,30,47,543
Adams,total,27,291,530,5,61,212,1126
Alafia,Charter,0,6,11,0,4,18,39
Alafia,Choice,0,0,9,0,6,28,43
Alafia,Magnet,0,1,0,0,1,0,2
Alafia,Neighborhood,6,39,107,0,42,212,406
Alafia,total,6,46,127,0,53,258,490
Alexander,Charter,0,0,32,0,0,4,36
Alexander,Choice,0,0,21,0,2,2,25
Alexander,Magnet,0,2,7,0,0,0,9
Alexander,Neighborhood,3,4,392,0,12,17,428
Alexander,total,3,6,452,0,14,23,498
Alonso,Charter,3,6,10,0,1,8,28
Alonso,Choice,0,6,25,0,5,24,60
Alonso,Hope Sch,0,0,0,0,0,1,1
Alonso,Magnet,84,14,134,0,21,150,403
Alonso,Neighborhood,99,146,9,4,89,556,15
Alonso,total,186,172,178,4,116,739,507
Anderson,Charter,0,1,4,0,2,11,18
Anderson,Choice,0,5,2,0,8,12,27
Anderson,ESE Placed,0,0,1,0,0,0,1
Anderson,Magnet,2,4,3,0,1,13,23
Anderson,Neighborhood,18,45,61,0,43,110,277
Anderson,total,20,55,71,0,54,146,346
Apollo Beach,Charter,3,8,18,0,5,62,96
Apollo Beach,Choice,0,3,2,0,2,4,11
Apollo Beach,ESE Placed,0,0,1,0,0,1,2
Apollo Beach,Magnet,5,2,9,0,12,40,68
Apollo Beach,Neighborhood,11,35,118,2,41,256,461
Apollo Beach,total,19,48,148,2,60,363,638
Armwood,Charter,14,39,46,0,6,19,124
Armwood,Choice,1,20,21,0,5,22,69
Armwood,Hope Sch,0,1,1,0,1,1,4
Armwood,Magnet,39,154,116,1,26,85,421
Armwood,Neighborhood,22,671,669,2,76,395,23
Armwood,total,76,885,853,3,114,522,641
Bailey,Charter,5,13,0,32,0,2,0
Bailey,Choice,0,9,8,11,0,9,15
Bailey,ESE Center,0,0,1,0,0,0,1
Bailey,Magnet,1,3,5,0,2,11,22
Bailey,Neighborhood,7,31,306,1,37,255,637
Bailey,total,13,56,320,44,39,277,675
Ballast Point,Charter,0,0,0,0,0,1,1
