School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,ADVANTAGE ACADEMY OF HILLSBOROUGH,Charter,Blank/Bad Addr,,,10,,1,5,16
"",,,Bailey,1,,1,,,,2
"",,,Bryan,1,1,32,,1,8,43
"",,,Burney,,10,29,1,3,5,48
"",,,Colson,,,,,,1,1
"",,,Cork,,,5,,1,5,11
"",,,Dover,,,8,,,1,9
"",,,Jackson,,5,53,,3,5,66
"",,,Kenly,,,1,,,,1
"",,,Knights,,,14,,,4,18
"",,,Pinecrest,,,,,,4,4
"",,,Robinson,,,10,,,3,13
"",,,Springhead,,,24,,,2,26
"",,,Summerfield Crossings,,1,,,,,1
"",,,Tampa Bay Boulevard,,,2,,,,2
"",,,Trapnell,,3,14,,,4,21
"",,,Walden Lake,,4,8,,1,1,14
"",,,Wilson,,,9,,,,9
"",,Charter Total,,2,24,220,1,10,48,305
"",ADVANTAGE ACADEMY OF HILLSBOROUGH Total,,,2,24,220,1,10,48,305
"",BIG BEND ACADEMY MATH & SCIENCE,Charter,Bevis,,,,,,1,1
"",,,Collins,,,,,1,,1
"",,,Corr,,1,2,,,,3
"",,,Cypress Creek,,,1,,,,1
"",,,Gibsonton,,,,,,1,1
"",,,Ippolito,,1,1,,,,2
"",,,Kingswood,,1,,,,,1
"",,,Riverview,,,1,,1,,2
"",,,Sessums,2,1,,,,4,7
"",,Charter Total,,2,4,5,,2,6,19
"",BIG BEND ACADEMY MATH & SCIENCE Total,,,2,4,5,,2,6,19
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,BRIDGEPREP ACADEMY OF RIVERVIEW,Charter,Anderson,,,,,1,1,2
"",,,Bailey,,,1,,1,,2
"",,,Belmont,,2,5,1,,,8
"",,,Bing,,6,30,,,6,42
"",,,Boyette Springs,,7,,,,1,8
"",,,Brooker,,3,3,,,,6
"",,,Broward,,,,,1,,1
"",,,Buckhorn,,,3,,,,3
"",,,Cimino,,1,,,1,,2
"",,,Clair Mel,,5,24,,2,4,35
"",,,Collins,,5,2,,,1,8
"",,,Colson,,,1,,1,1,3
"",,,Corr,,7,7,,4,2,20
"",,,Crestwood,,,1,,,1,2
"",,,Cypress Creek,,13,1,,,1,15
"",,,Dawson,,4,,,1,1,6
"",,,DeSoto,,,,,,1,1
"",,,Doby,,4,1,,,,5
"",,,Folsom,,2,2,,1,,5
"",,,Foster,,1,,,,,1
"",,,Frost,1,33,28,,10,7,79
"",,,Gibsonton,,2,2,,1,,5
"",,,Graham,,1,1,,,,2
"",,,Ippolito,4,51,85,1,15,8,164
"",,,James,,2,,,,,2
"",,,Kenly,,2,4,,1,2,9
"",,,Kingswood,,7,11,,2,,20
"",,,Lamb,,38,31,,8,7,84
"",,,Limona,,3,3,,,1,7
"",,,Mango,,2,4,,,,6
"",,,McDonald,,1,4,,,3,8
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,BRIDGEPREP ACADEMY OF RIVERVIEW,Charter,Mintz,,5,11,,5,4,25
"",,,Nelson,,4,4,,,1,9
"",,,Oak Park,,2,,,,,2
"",,,Palm River,,4,15,1,1,,21
"",,,Pinecrest,,,,,,1,1
"",,,Pride,,1,,,,,1
"",,,Reddick,,3,,,2,2,7
"",,,Riverview,,6,14,,2,5,27
"",,,Robles,,7,1,,2,,10
"",,,Ruskin,,3,4,,1,,8
"",,,Schmidt,,4,9,,,1,14
"",,,Seffner,,,1,,,,1
"",,,Sessums,,9,7,,,4,20
"",,,Sheehy,,1,,,,,1
"",,,Summerfield,,,1,,,1,2
"",,,Summerfield Crossings,,10,6,,1,3,20
"",,,Symmes,,8,13,,1,,22
"",,,Temple Terrace,,,,,1,,1
"",,,Thompson,,2,,,,1,3
"",,,Thonotosassa,,2,,,,,2
"",,,Valrico,,,4,,,,4
"",,,West Tampa,,,2,,,,2
"",,,Witter,,,,,1,,1
"",,,Yates,,9,10,,4,7,30
"",,Charter Total,,5,284,359,3,71,78,800
"",BRIDGEPREP ACADEMY OF RIVERVIEW Total,,,5,284,359,3,71,78,800
"",BRIDGEPREP ACADEMY OF TAMPA,Charter,Blank/Bad Addr,,3,4,,,,7
"",,,Alexander,,,,,,1,1
"",,,Anderson,,,2,,,2,4
"",,,Ballast Point,,,,,,1,1
"",,,Bay Crest,,1,1,,,,2
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,BRIDGEPREP ACADEMY OF TAMPA,Charter,Cannella,,,2,,,,2
"",,,Chiaramonte,,,2,,,,2
"",,,Cleveland,,,,,1,,1
"",,,Collins,,,,,,1,1
"",,,Colson,,,1,,,,1
"",,,Crestwood,,,2,,,,2
"",,,Cypress Creek,,,,,,2,2
"",,,Davis,,,2,,,,2
"",,,DeSoto,,1,,,1,,2
"",,,Dickenson,,,3,,,1,4
"",,,Edison,,,2,,,1,3
"",,,Forest Hills,,,,,,1,1
"",,,Foster,,2,2,,,1,5
"",,,Frost,,3,2,,,,5
"",,,Grady,,1,,,,,1
