Zoned School,Current Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Blank/Bad Addr,Charter,ADVANTAGE ACADEMY OF HILLSBOROUGH,K-8,,,10,,1,5,16
"",,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,2,2,,,,4
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,3,4,,,,7
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,1,,1,5,8
"",,CREEKSIDE CHARTER ACADEMY,K-8,,1,2,,,,3
"",,DR KIRAN C PATEL ELEMENTARY,Elem,3,8,3,,1,10,25
"",,EXCELSIOR PREP CHARTER SCHOOL,Elem,,2,2,,,,4
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,1,,3,,1,1,6
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,2,2,3,,1,3,11
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,4,,,1,5
"",,INDEPENDENCE ACADEMY,K-8,,,1,,,16,17
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,,1,,,,,1
"",,LEARNING GATE COMMUNITY,K-8,4,2,40,,26,115,187
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,,,,,,1,1
"",,LUTZ PREPARATORY SCHOOL,K-8,8,10,32,,13,67,130
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,1,1,,3,4,9
"",,NEW SPRINGS SCHOOL,K-8,,4,,,,3,7
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,2,1,2,,2,15,22
"",,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,,,1,,,,1
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,1,,,1,4,6
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,2,9,,2,1,14
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,29,19,80,1,14,97,240
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,3,10,,,2,15
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,,1,,,,1
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,3,3,3,1,1,4,15
"",,WALTON ACADEMY,Elem,,3,,,,,3
"",,WATERSET CHARTER SCHOOL,K-8,,,,,,1,1
"",,WINTHROP CHARTER SCHOOL,K-8,,1,,,,2,3
"",,WOODMONT CHARTER SCHOOL,K-8,,1,2,,,2,5
"",Charter Total,,,52,71,216,2,67,359,767
"",Choice,ALEXANDER ELEMENTARY,Elem,,,2,,,,2
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Blank/Bad Addr,Choice,BAILEY ELEMENTARY,Elem,,,3,,,4,7
"",,BAY CREST ELEMENTARY,Elem,,,,,,2,2
"",,BELLAMY ELEMENTARY,Elem,,,3,,,,3
"",,BEVIS ELEMENTARY,Elem,,,,,,1,1
"",,BROOKER ELEMENTARY,Elem,,,1,,,2,3
"",,BRYAN PLANT CITY ELEMENTARY,Elem,,,6,,2,1,9
"",,BRYANT ELEMENTARY,Elem,,,,,1,9,10
"",,BURNEY ELEMENTARY,Elem,,,,,,4,4
"",,CANNELLA ELEMENTARY,Elem,,,1,,1,,2
"",,CARROLLWOOD K-8 SCHOOL,K-8,,1,2,,,5,8
"",,CHIARAMONTE ELEMENTARY,Elem,,1,2,,,2,5
"",,CHILES ELEMENTARY,Elem,1,6,6,,,11,24
"",,CITRUS PARK ELEMENTARY,Elem,,1,5,,1,7,14
"",,CLARK ELEMENTARY,Elem,7,7,1,,2,12,29
"",,CLAYWELL ELEMENTARY,Elem,,,6,,,3,9
