Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Blank/Bad Addr,Choice,STEINBRENNER HIGH SCHOOL,High,,1,4,,,13,18
"",,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,ALONSO HIGH SCHOOL,High,,,,,,1,1
"",,BLAKE HIGH SCHOOL,High,,2,,,,1,3
"",,DURANT HIGH SCHOOL,High,,1,2,,,9,12
"",,FREEDOM HIGH SCHOOL,High,1,11,6,,3,5,26
"",,GAITHER HIGH SCHOOL,High,2,1,10,,3,12,28
"",,HILLSBOROUGH HIGH SCHOOL,High,,1,,,,1,2
"",,KING HIGH SCHOOL,High,,,,,,1,1
"",,LETO HIGH SCHOOL,High,,,1,,,,1
"",,MIDDLETON HIGH SCHOOL,High,1,,,,,,1
"",,PLANT CITY HIGH SCHOOL,High,,,1,,,,1
"",,ROBINSON HIGH SCHOOL,High,,1,,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,1,,,1,,2
"",,SICKLES HIGH SCHOOL,High,,2,,,,6,8
"",,WHARTON HIGH SCHOOL,High,,9,8,,2,10,29
"",Choice Total,,,4,31,32,,9,59,135
"",Magnet,STRAWBERRY CREST HIGH SCHOOL,High,7,1,2,,,,10
"",,ARMWOOD HIGH SCHOOL,High,,1,1,,,,2
"",,ALONSO HIGH SCHOOL,High,1,,2,,,2,5
"",,BLAKE HIGH SCHOOL,High,,4,3,,2,11,20
"",,HILLSBOROUGH HIGH SCHOOL,High,2,1,1,,1,2,7
"",,KING HIGH SCHOOL,High,9,,,,,,9
"",,LETO HIGH SCHOOL,High,,1,1,,,,2
"",,MIDDLETON HIGH SCHOOL,High,4,5,2,,,,11
"",,ROBINSON HIGH SCHOOL,High,,1,,,1,,2
"",,JEFFERSON HIGH SCHOOL,High,,2,1,,,,3
"",,TAMPA BAY TECH HIGH SCHOOL,High,,7,3,,1,,11
"",Magnet Total,,,23,23,16,,5,15,82
"",Neighborhood,HILLSBOROUGH HIGH SCHOOL,High,,,1,,,,1
"",,SUMNER HIGH SCHOOL,High,,1,2,,,,3
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Blank/Bad Addr,,STEINBRENNER HIGH SCHOOL,High,,,1,,,,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,,,2,,,,2
"",,DURANT HIGH SCHOOL,High,,,,,,1,1
"",,FREEDOM HIGH SCHOOL,High,,,1,,,,1
"",,GAITHER HIGH SCHOOL,High,,,,,1,,1
"",,HILLSBOROUGH HIGH SCHOOL,High,,1,,,,,1
"",,MIDDLETON HIGH SCHOOL,High,,1,,,,,1
"",,PLANT HIGH SCHOOL,High,,1,,,,,1
"",,PLANT CITY HIGH SCHOOL,High,,,1,,,2,3
"",,SICKLES HIGH SCHOOL,High,,,1,,,,1
"",,WHARTON HIGH SCHOOL,High,1,1,,,,2,4
"",Neighborhood Total,,,1,5,10,,1,5,22
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,4,14,19,,6,16,59
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,1,,,,,1
"",,WEST UNIVERSITY CHARTER HIGH,High,1,2,3,,,1,7
"",,FOCUS ACADEMY,High,,2,3,,1,3,9
"",,DR KIRAN C PATEL HIGH SCHOOL,High,15,16,16,,4,23,74
"",Charter Total,,,20,35,41,,11,43,150
Blank/Bad Addr Total48949926122389,,,,,,,,,,
Alonso,Choice,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,ALONSO HIGH SCHOOL,High,,1,7,,1,3,12
"",,CHAMBERLAIN HIGH SCHOOL,High,,,,,,1,1
"",,FREEDOM HIGH SCHOOL,High,,,,,1,1,2
"",,GAITHER HIGH SCHOOL,High,,,3,,,3,6
"",,HILLSBOROUGH HIGH SCHOOL,High,,,,,,1,1
"",,LETO HIGH SCHOOL,High,,1,4,,,,5
"",,ROBINSON HIGH SCHOOL,High,,,,,,1,1
"",,JEFFERSON HIGH SCHOOL,High,,,2,,,,2
"",,SICKLES HIGH SCHOOL,High,,3,9,,3,14,29
"",Choice Total,,,,6,25,,5,24,60
"",Hope Sch,GAITHER HIGH SCHOOL,High,,,,,,1,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Alonso,Hope Sch Total,,,,,1,,,1,2
"",Magnet,ALONSO HIGH SCHOOL,High,53,9,115,,15,114,306
"",,BLAKE HIGH SCHOOL,High,2,,6,,2,15,25
"",,HILLSBOROUGH HIGH SCHOOL,High,9,,,,1,3,13
"",,LETO HIGH SCHOOL,High,,1,2,,1,2,6
"",,MIDDLETON HIGH SCHOOL,High,6,,2,,1,2,11
"",,ROBINSON HIGH SCHOOL,High,14,2,1,,,11,28
"",,JEFFERSON HIGH SCHOOL,High,,1,3,,,2,6
"",,TAMPA BAY TECH HIGH SCHOOL,High,,1,5,,1,1,8
"",Magnet Total,,,84,14,134,,21,150,403
"",Neighborhood,STEINBRENNER HIGH SCHOOL,High,,,1,,1,,2
"",,ARMWOOD HIGH SCHOOL,High,,,1,,,,1
"",,ALONSO HIGH SCHOOL,High,99,143,"1,415",4,87,555,"2,303"
"",,BLAKE HIGH SCHOOL,High,,,1,,1,,2
"",,GAITHER HIGH SCHOOL,High,,,1,,,,1
"",,HILLSBOROUGH HIGH SCHOOL,High,,,1,,,,1
"",,LETO HIGH SCHOOL,High,,1,2,,,1,4
"",,ROBINSON HIGH SCHOOL,High,,1,,,,,1
"",,SICKLES HIGH SCHOOL,High,,1,2,,,,3
"",Neighborhood Total,,,99,146,"1,424",4,89,556,"2,318"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,1,1,1,,1,3,7
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,2,2,,,1,5
"",,WEST UNIVERSITY CHARTER HIGH,High,,,3,,,1,4
"",,FOCUS ACADEMY,High,,2,,,,3,5
"",,DR KIRAN C PATEL HIGH SCHOOL,High,2,1,4,,,,7
"",Charter Total,,,3,6,10,,1,8,28
"Alonso Total1861721,59441167392,811",,,,,,,,,,
Armwood,Choice,STRAWBERRY CREST HIGH SCHOOL,High,,1,4,,1,14,20
"",,ARMWOOD HIGH SCHOOL,High,1,5,4,,,1,11
"",,ALONSO HIGH SCHOOL,High,,1,,,,,1
"",,BLAKE HIGH SCHOOL,High,,2,,,,,2
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Armwood,Choice,CHAMBERLAIN HIGH SCHOOL,High,,,1,,1,,2
"",,DURANT HIGH SCHOOL,High,,1,2,,,4,7
"",,FREEDOM HIGH SCHOOL,High,,,4,,,,4
"",,HILLSBOROUGH HIGH SCHOOL,High,,5,,,1,,6
"",,KING HIGH SCHOOL,High,,,,,,1,1
"",,LETO HIGH SCHOOL,High,,3,,,,,3
"",,MIDDLETON HIGH SCHOOL,High,,2,2,,,,4
"",,RIVERVIEW HIGH SCHOOL,High,,,1,,1,,2
"",,PLANT CITY HIGH SCHOOL,High,,,,,,1,1
"",,ROBINSON HIGH SCHOOL,High,,,,,,1,1
"",,JEFFERSON HIGH SCHOOL,High,,,3,,,,3
"",,WHARTON HIGH SCHOOL,High,,,,,1,,1
"",Choice Total,,,1,25,27,,6,35,94
"",Hope Sch,BRANDON HIGH SCHOOL,High,,1,1,,1,1,4
"",Hope Sch Total,,,,1,1,,1,1,4
"",Magnet,SPOTO HIGH SCHOOL,High,,,,,,1,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,17,2,6,,,5,30
"",,ARMWOOD HIGH SCHOOL,High,5,34,31,,10,50,130
"",,BLAKE HIGH SCHOOL,High,1,17,11,,1,6,36
"",,HILLSBOROUGH HIGH SCHOOL,High,,1,,,1,,2
"",,KING HIGH SCHOOL,High,2,1,,,,3,6
"",,LETO HIGH SCHOOL,High,,1,,,,,1
"",,MIDDLETON HIGH SCHOOL,High,6,6,5,1,4,1,23
"",,ROBINSON HIGH SCHOOL,High,,,1,,,,1
"",,JEFFERSON HIGH SCHOOL,High,1,13,4,,,,18
"",,TAMPA BAY TECH HIGH SCHOOL,High,7,79,58,,10,19,173
"",Magnet Total,,,39,154,116,1,26,85,421
"",Neighborhood,LENNARD HIGH SCHOOL,High,,,1,,,,1
"",,STEINBRENNER HIGH SCHOOL,High,,,,,,1,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,,,,,,3,3
"",,ARMWOOD HIGH SCHOOL,High,22,663,664,2,76,385,"1,812"
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Armwood,Neighborhood,EAST BAY HIGH SCHOOL,High,,,,,,2,2
"",,FREEDOM HIGH SCHOOL,High,,1,,,,,1
"",,KING HIGH SCHOOL,High,,3,1,,,,4
"",,LETO HIGH SCHOOL,High,,,1,,,,1
"",,MIDDLETON HIGH SCHOOL,High,,3,2,,,,5
"",,RIVERVIEW HIGH SCHOOL,High,,,,,,1,1
"",,PLANT CITY HIGH SCHOOL,High,,,,,,3,3
"",,WHARTON HIGH SCHOOL,High,,1,,,,,1
"",Neighborhood Total,,,22,674,675,2,78,397,"1,848"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,,7,9,,1,3,20
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,10,2,,,1,13
"",,WEST UNIVERSITY CHARTER HIGH,High,,3,,,,3,6
"",,FOCUS ACADEMY,High,,1,7,,1,2,11
"",,DR KIRAN C PATEL HIGH SCHOOL,High,14,16,22,,3,9,64
"",,BRIDGEPREP ACADEMY OF ADVANCED,High,,2,3,,,,5
"",,WINTHROP COLLEGE PREP ACADEMY,High,,,2,,,,2
"",,RIVERVIEW ACADEMY HIGH SCHOOL,High,,,1,,1,1,3
"",Charter Total,,,14,39,46,,6,19,124
"Armwood Total7689386531175372,491",,,,,,,,,,
Blake,Choice,SPOTO HIGH SCHOOL,High,,4,3,,,,7
"",,ARMWOOD HIGH SCHOOL,High,,1,2,,1,3,7
"",,BLAKE HIGH SCHOOL,High,,,,,,1,1
"",,BRANDON HIGH SCHOOL,High,,5,3,1,2,8,19
"",,CHAMBERLAIN HIGH SCHOOL,High,,,,,,1,1
"",,DURANT HIGH SCHOOL,High,,,1,,,,1
"",,EAST BAY HIGH SCHOOL,High,,1,2,,1,2,6
"",,FREEDOM HIGH SCHOOL,High,,,1,,,,1
"",,GAITHER HIGH SCHOOL,High,,,3,,,,3
"",,HILLSBOROUGH HIGH SCHOOL,High,1,9,1,,1,1,13
"",,KING HIGH SCHOOL,High,,,2,,,,2
"",,MIDDLETON HIGH SCHOOL,High,,4,,,,,4
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Blake,Choice,JEFFERSON HIGH SCHOOL,High,,11,7,,1,4,23
"",,SICKLES HIGH SCHOOL,High,,1,,,,,1
