"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,ADVANTAGE ACADEMY OF HILLSBOROUGH,Charter,Blank/Bad Addr,,,5,,,5,10
"",,,Mann,,,1,,,,1
"",,,Marshall,,7,48,,,9,64
"",,,Tomlin,3,2,42,,1,13,61
"",,,Turkey Creek,,1,14,,1,2,18
"",,Charter Total,,3,10,110,,2,29,154
"",ADVANTAGE ACADEMY OF HILLSBOROUGH Total,,,3,10,110,,2,29,154
"",BRIDGEPREP ACADEMY OF RIVERVIEW,Charter,Blank/Bad Addr,,1,1,,,,2
"",,,Adams,,,1,,,,1
"",,,Barrington,,,,,,1,1
"",,,Burnett,,1,1,,,,2
"",,,Burns,,2,2,,,,4
"",,,Collins,,4,2,,,1,7
"",,,Dowdell,,2,10,,,1,13
"",,,Eisenhower,,17,12,,1,1,31
"",,,Giunta,1,69,95,,12,14,191
"",,,Greco,,2,1,,1,,4
"",,,Jennings,,5,1,,3,,9
"",,,Madison,,,1,,,,1
"",,,Mann,,3,7,,,1,11
"",,,McLane,1,25,28,,3,6,63
"",,,Monroe,,1,,,,,1
"",,,Mulrennan,,,2,,,1,3
"",,,Rodgers,,15,12,,5,1,33
"",,,Shields,,12,3,,,2,17
"",,,Stewart,,2,,,,,2
"",,,Woodson K-8,,1,,,,,1
"",,Charter Total,,2,162,179,,25,29,397
"",BRIDGEPREP ACADEMY OF RIVERVIEW Total,,,2,162,179,,25,29,397
"",BRIDGEPREP ACADEMY OF TAMPA,Charter,Blank/Bad Addr,,1,,,,,1
"",,,Adams,,1,1,,,,2
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,BRIDGEPREP ACADEMY OF TAMPA,Charter,Coleman,,,1,,,1,2
"",,,Eisenhower,,,1,,,,1
"",,,Giunta,,5,2,,2,,9
"",,,Greco,,2,2,,,2,6
"",,,Hill,,1,,,,,1
"",,,Jennings,,2,4,,,2,8
"",,,Liberty,,,1,,,,1
"",,,Madison,,2,19,,2,8,31
"",,,Mann,,,4,,,1,5
"",,,McLane,,1,1,,1,,3
"",,,Memorial,,1,8,,,,9
"",,,Monroe,1,4,10,,3,9,27
"",,,Pierce,,1,8,,,,9
"",,,Rodgers,,2,1,,,,3
"",,,Shields,,1,2,,,1,4
"",,,Sligh,,1,1,,,,2
"",,,Stewart,,1,,,,,1
"",,,Turner/Bartels K-8,,,1,,,,1
"",,,Webb,,,,,,2,2
"",,,Wilson,1,,1,,2,,4
"",,,Woodson K-8,,,2,,,,2
"",,Charter Total,,2,27,71,,10,27,137
"",BRIDGEPREP ACADEMY OF TAMPA Total,,,2,27,71,,10,27,137
"",CARROLLWOOD K-8 SCHOOL,Choice,Adams,,,1,,,1,2
"",,,Pierce,,,1,,,1,2
"",,,Webb,,,,,1,,1
"",,Choice Total,,,,2,,1,2,5
"",,Neighborhood,Blank/Bad Addr,,,1,,,,1
"",,,Adams,,,2,,,1,3
"",,,Carrollwood K-8,1,5,21,,3,20,50
"",,,Madison,,1,,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CARROLLWOOD K-8 SCHOOL,Neighborhood,Sligh,,,1,,,,1
"",,Neighborhood Total,,1,6,29,,3,21,60
"",CARROLLWOOD K-8 SCHOOL Total,,,1,6,31,,4,23,65
"",CHANNELSIDE ACAD MATH AND SCI,Charter,Blank/Bad Addr,,,,,1,,1
"",,,Adams,,1,1,,,1,3
"",,,Benito,,1,,,,,1
"",,,Buchanan,,,,,,1,1
"",,,Burnett,,1,,,,,1
"",,,Dowdell,,1,2,,,,3
"",,,Eisenhower,,1,,,,,1
"",,,Farnell,,,1,,,,1
"",,,Giunta,,,4,,,1,5
"",,,Greco,,,4,,,3,7
"",,,Jennings,,1,,,,,1
"",,,Madison,,1,5,1,,3,10
"",,,Mann,,1,2,,,2,5
"",,,McLane,,4,7,,3,1,15
"",,,Memorial,,3,2,,,1,6
"",,,Monroe,,3,,,,4,7
"",,,Mulrennan,1,,,,,,1
"",,,Pierce,,1,2,,,,3
"",,,Rodgers,,,2,,,1,3
"",,,Shields,,1,1,,,1,3
"",,,Sligh,,2,,,1,,3
"",,,Stewart,,6,,,,,6
"",,,Sulphur Springs K-8,,3,1,,,,4
"",,,Wilson,,,,,1,,1
"",,,Woodson K-8,,,3,,,,3
"",,Charter Total,,1,31,37,1,6,19,95
"",CHANNELSIDE ACAD MATH AND SCI Total,,,1,31,37,1,6,19,95
"",COLLINS PK-8 SCHOOL,Choice,Blank/Bad Addr,,,,,,1,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,COLLINS PK-8 SCHOOL,Choice,Eisenhower,,3,4,,2,4,13
"",,,Rodgers,,,,,3,4,7
"",,,Shields,,1,2,,1,5,9
"",,Choice Total,,,4,6,,6,18,34
"",,Magnet,Eisenhower,1,,,,,,1
"",,Magnet Total,,1,,,,,,1
"",,Neighborhood,Blank/Bad Addr,,,,,,1,1
"",,,Buchanan,,1,,,1,,2
"",,,Collins,17,107,119,,36,152,431
"",,,Eisenhower,1,1,,,,,2
"",,,Giunta,,,,,1,1,2
"",,,Rodgers,,,2,,1,,3
"",,,Shields,,,1,,,,1
"",,Neighborhood Total,,18,109,122,,39,154,442
"",COLLINS PK-8 SCHOOL Total,,,19,113,128,,45,172,477
"",CREEKSIDE CHARTER ACADEMY,Charter,Blank/Bad Addr,,1,,,,,1
"",,,Barrington,,,1,,,,1
"",,,Benito,,,,,1,,1
"",,,Burns,,,1,,,,1
"",,,Collins,,1,1,,,2,4
"",,,Dowdell,,,2,,1,,3
"",,,Eisenhower,2,47,46,,14,26,135
"",,,Giunta,,3,1,,,,4
"",,,Greco,,1,,,,,1
"",,,Mann,,,1,,,,1
"",,,McLane,1,1,3,,1,1,7
"",,,Mulrennan,,,,,,2,2
"",,,Pierce,,,1,,,1,2
"",,,Rodgers,,3,10,,,5,18
"",,,Sgt. Smith,,,1,,,,1
"",,,Shields,,26,47,,3,9,85
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CREEKSIDE CHARTER ACADEMY,Charter,Woodson K-8,,1,,,,,1
"",,Charter Total,,3,84,118,,20,46,271
"",CREEKSIDE CHARTER ACADEMY Total,,,3,84,118,,20,46,271
"",HENDERSON HAMMOCK CHARTER SCH,Charter,Blank/Bad Addr,,,2,,2,2,6
"",,,Adams,1,,18,,,1,20
"",,,Buchanan,,,6,,,,6
"",,,Burnett,,,1,,,,1
"",,,Carrollwood K-8,,,3,,,,3
"",,,Davidsen,,,16,,,1,17
"",,,Farnell,,,3,,1,,4
"",,,Greco,,1,,,,,1
"",,,Hill,,,13,,,,13
"",,,Jennings,,,1,,,,1
"",,,Madison,,,5,,,1,6
"",,,Mann,,,2,,,,2
"",,,Memorial,1,2,49,,1,,53
"",,,Monroe,,,1,,,,1
"",,,Pierce,2,12,113,,3,10,140
"",,,Sgt. Smith,2,6,64,1,1,7,81
"",,,Sligh,,,2,,,,2
"",,,Turner/Bartels K-8,,1,,,,,1
"",,,Webb,2,2,65,,5,3,77
"",,,Woodson K-8,,,1,,,1,2
"",,Charter Total,,8,24,365,1,13,26,437
"",,Neighborhood,Webb,,,1,,,,1
"",,Neighborhood Total,,,,1,,,,1
"",HENDERSON HAMMOCK CHARTER SCH Total,,,8,24,366,1,13,26,438
"",HILLSBOROUGH ACAD MATH SCIENCE,Charter,Blank/Bad Addr,,,2,,,2,4
"",,,Adams,,,3,,,,3
"",,,Benito,,,1,,,,1
"",,,Carrollwood K-8,,,,,,1,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,HILLSBOROUGH ACAD MATH SCIENCE,Charter,Davidsen,3,3,49,,2,10,67
"",,,Farnell,2,1,16,,2,15,36
"",,,Greco,,1,,,,,1
"",,,Hill,,,5,,,1,6
"",,,McLane,,,2,,1,,3
"",,,Memorial,,,4,,,,4
"",,,Pierce,,1,23,,1,3,28
"",,,Sgt. Smith,1,,29,,1,3,34
"",,,Sligh,,,,,,1,1
"",,,Webb,2,2,74,,1,15,94
"",,Charter Total,,8,8,208,,8,52,284
"",HILLSBOROUGH ACAD MATH SCIENCE Total,,,8,8,208,,8,52,284
"",HORIZON CHARTER SCH OF TAMPA,Charter,Blank/Bad Addr,1,,1,,1,1,4
"",,,Adams,,,3,,,,3
"",,,Buchanan,,,1,,,,1
"",,,Davidsen,2,,4,,1,1,8
"",,,Farnell,2,1,,,,2,5
"",,,Giunta,,,2,,,,2
"",,,Greco,,,,,,2,2
"",,,Hill,,,,,1,,1
"",,,Jennings,,,1,,,,1
"",,,Madison,,,2,,,,2
"",,,Martinez,,,1,,,1,2
"",,,Memorial,,,5,,,1,6
"",,,Pierce,1,,7,,,2,10
"",,,Sgt. Smith,,,10,,,2,12
"",,,Sligh,,,,,,1,1
"",,,Webb,2,1,29,,2,5,39
"",,Charter Total,,8,2,66,,5,18,99
"",HORIZON CHARTER SCH OF TAMPA Total,,,8,2,66,,5,18,99
"",INDEPENDENCE ACADEMY,Charter,Blank/Bad Addr,,,2,,1,10,13
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,INDEPENDENCE ACADEMY,Charter,Giunta,,,,,,2,2
"",,,Greco,,1,,,,1,2
"",,,Jennings,,,7,,3,13,23
"",,,Liberty,,,1,,,,1
"",,,Mann,5,2,10,,1,14,32
"",,,Marshall,,1,9,,2,37,49
"",,,McLane,,,2,,,7,9
"",,,Mulrennan,,1,,,,7,8
"",,,Rodgers,,,,,1,,1
"",,,Shields,,,,,,1,1
"",,,Tomlin,1,6,24,1,3,42,77
"",,,Turkey Creek,1,1,14,,1,25,42
"",,Charter Total,,9,17,86,1,14,208,335
"",INDEPENDENCE ACADEMY Total,,,9,17,86,1,14,208,335
"",KIDS COMMU COLLEGE SOUTHEAST,Charter,Barrington,1,6,2,,1,3,13
"",,,Burnett,1,,,,,,1
"",,,Burns,,,,,,1,1
"",,,Collins,,3,1,,1,1,6
"",,,Dowdell,,1,,,1,3,5
"",,,Eisenhower,2,20,15,,4,6,47
"",,,Farnell,,,1,,,,1
"",,,Giunta,,6,2,,,2,10
"",,,Greco,,,1,,,,1
"",,,Jennings,,,1,,1,,2
"",,,Mann,,2,,,,,2
"",,,McLane,1,2,3,,1,1,8
"",,,Monroe,,,1,,,,1
"",,,Rodgers,2,17,22,,7,13,61
"",,,Shields,,5,1,,,1,7
"",,Charter Total,,7,62,50,,16,31,166
"",KIDS COMMU COLLEGE SOUTHEAST Total,,,7,62,50,,16,31,166
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,LEARNING GATE COMMUNITY,Charter,Adams,3,3,9,,2,16,33
"",,,Benito,1,1,2,,1,2,7
"",,,Buchanan,,,10,,3,33,46
"",,,Burns,,,1,,,,1
"",,,Carrollwood K-8,,,,,,2,2
"",,,Eisenhower,,,,,1,,1
"",,,Giunta,,1,1,,,,2
"",,,Greco,,,4,,2,7,13
"",,,Hill,,,4,,,7,11
"",,,Jennings,,,,,,1,1
"",,,Liberty,,,10,,5,32,47
"",,,Martinez,,,2,,1,6,9
"",,,Memorial,,,,,1,3,4
"",,,Pierce,,,,,,4,4
"",,,Sgt. Smith,,,1,,,1,2
"",,,Sligh,,,,,1,6,7
"",,,Sulphur Springs K-8,,,,,,1,1
