Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Blank/Bad Addr,Charter,ADVANTAGE ACADEMY OF HILLSBOROUGH,K-8,,,5,,,5,10
"",,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,1,1,,,,2
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,1,,,,,1
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,,,,1,,1
"",,CREEKSIDE CHARTER ACADEMY,K-8,,1,,,,,1
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,2,,2,2,6
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,,2,,,2,4
"",,HORIZON CHARTER SCH OF TAMPA,K-8,1,,1,,1,1,4
"",,INDEPENDENCE ACADEMY,K-8,,,2,,1,10,13
"",,LEARNING GATE COMMUNITY,K-8,1,7,14,,8,48,78
"",,LEGACY PREPARATORY ACADEMY,K-8,,,1,,,,1
"",,LUTZ PREPARATORY SCHOOL,K-8,7,1,10,,4,47,69
"",,NEW SPRINGS SCHOOL,K-8,,1,,,,1,2
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,1,,,3,4
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,17,5,32,,1,50,105
"",,TERRACE COMMUNITY SCHOOL,Mid,26,6,3,,2,9,46
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,3,6,,2,3,14
"",,WOODMONT CHARTER SCHOOL,K-8,,1,,,,,1
"",Charter Total,,,52,27,80,,22,181,362
"",Choice,BENITO MIDDLE SCHOOL,Mid,,7,4,,1,5,17
"",,BURNETT MIDDLE SCHOOL,Mid,,,,,,1,1
"",,COLLINS PK-8 SCHOOL,K-8,,,,,,1,1
"",,DAVIDSEN MIDDLE SCHOOL,Mid,,,,,,1,1
"",,FARNELL MIDDLE SCHOOL,Mid,,2,1,,,3,6
"",,HILL MIDDLE SCHOOL,Mid,,1,2,,1,1,5
"",,LIBERTY MIDDLE SCHOOL,Mid,,3,4,,2,1,10
"",,LUTZ K-8 SCHOOL,K-8,,,4,,1,8,13
"",,MADISON MIDDLE SCHOOL,Mid,,,1,,1,1,3
"",,MANISCALCO K-8 SCHOOL,K-8,,1,1,,3,3,8
