zoned_school_name,current_placement,share_diverted
ADAMS MIDDLE SCHOOL,Charter,0.1777
ADAMS MIDDLE SCHOOL,Choice,0.1442
ADAMS MIDDLE SCHOOL,Hope Sch,0.0018
ADAMS MIDDLE SCHOOL,Magnet,0.197
ADAMS MIDDLE SCHOOL,Neighborhood,0.029
ADAMS MIDDLE SCHOOL,Stay,0.4503
ALAFIA ELEMENTARY,Charter,0.0794
ALAFIA ELEMENTARY,Choice,0.0652
ALAFIA ELEMENTARY,Magnet,0.0041
ALAFIA ELEMENTARY,Neighborhood,0.0224
ALAFIA ELEMENTARY,Stay,0.8289
ALEXANDER ELEMENTARY,Charter,0.0717
ALEXANDER ELEMENTARY,Choice,0.0498
ALEXANDER ELEMENTARY,Magnet,0.0179
ALEXANDER ELEMENTARY,Neighborhood,0.0618
ALEXANDER ELEMENTARY,Stay,0.7988
ALONSO HIGH SCHOOL,Charter,0.01
ALONSO HIGH SCHOOL,Choice,0.0171
ALONSO HIGH SCHOOL,Hope Sch,7e-4
ALONSO HIGH SCHOOL,Magnet,0.0345
ALONSO HIGH SCHOOL,Neighborhood,0.0053
ALONSO HIGH SCHOOL,Stay,0.9324
ANDERSON ELEMENTARY,Charter,0.0568
ANDERSON ELEMENTARY,Choice,0.071
ANDERSON ELEMENTARY,ESE Placed,0.0028
ANDERSON ELEMENTARY,Magnet,0.0653
ANDERSON ELEMENTARY,Neighborhood,0.108
ANDERSON ELEMENTARY,Stay,0.696
APOLLO BEACH ELEMENTARY,Charter,0.1495
APOLLO BEACH ELEMENTARY,Choice,0.014
APOLLO BEACH ELEMENTARY,ESE Placed,0.0031
APOLLO BEACH ELEMENTARY,Magnet,0.1059
APOLLO BEACH ELEMENTARY,Neighborhood,0.0234
APOLLO BEACH ELEMENTARY,Stay,0.704
ARMWOOD HIGH SCHOOL,Charter,0.0498
ARMWOOD HIGH SCHOOL,Choice,0.0333
ARMWOOD HIGH SCHOOL,Hope Sch,0.0016
ARMWOOD HIGH SCHOOL,Magnet,0.1168
ARMWOOD HIGH SCHOOL,Neighborhood,0.0145
ARMWOOD HIGH SCHOOL,Stay,0.784
BAILEY ELEMENTARY,Charter,0.1356
BAILEY ELEMENTARY,Choice,0.0778
BAILEY ELEMENTARY,ESE Center,0.0012
BAILEY ELEMENTARY,Magnet,0.0259
BAILEY ELEMENTARY,Neighborhood,0.0448
BAILEY ELEMENTARY,Stay,0.7146
BALLAST POINT ELEMENTARY,Charter,0.0025
BALLAST POINT ELEMENTARY,Choice,0.0247
BALLAST POINT ELEMENTARY,Magnet,0.037
BALLAST POINT ELEMENTARY,Neighborhood,0.0173
BALLAST POINT ELEMENTARY,Stay,0.9185
BARRINGTON MIDDLE SCHOOL,Charter,0.0591
