district_name,district_number,total_schools,df_schools,total_students,df_students,share_studets_in_df
MIAMI-DADE,13,330,0,250846,0,0
BROWARD,06,213,0,201001,0,0
ORANGE,48,205,0,189609,0,0
HILLSBOROUGH,29,219,0,187987,0,0
PALM BEACH,50,166,0,166207,0,0
DUVAL,16,141,0,101442,0,0
POLK,53,107,0,94090,0,0
LEE,36,81,0,85895,0,0
PINELLAS,52,115,0,83811,0,0
PASCO,51,82,0,75386,0,0
BREVARD,05,84,0,63712,0,0
SEMINOLE,59,59,0,63417,0,0
VOLUSIA,64,68,0,59920,0,0
OSCEOLA,49,49,0,55447,0,0
ST. JOHNS,55,41,0,49461,0,0
MARION,42,46,0,42874,0,0
COLLIER,11,50,0,42270,0,0
MANATEE,41,50,0,41388,0,0
ST. LUCIE,56,37,0,38783,0,0
LAKE,35,39,0,38383,0,0
SARASOTA,58,38,0,37801,0,0
CLAY,10,42,0,37077,0,0
ESCAMBIA,17,50,0,35944,0,0
OKALOOSA,46,35,0,30090,0,0
LEON,37,39,0,29334,0,0
SANTA ROSA,57,29,0,26660,0,0
ALACHUA,01,37,0,26422,0,0
HERNANDO,27,23,0,23476,0,0
BAY,03,29,0,21340,0,0
MARTIN,43,20,0,16619,0,0
CITRUS,09,19,0,15407,0,0
CHARLOTTE,08,18,0,15158,0,0
INDIAN RIVER,31,20,0,14812,0,0
HENDRY,26,11,0,13794,0,0
FLAGLER,18,11,0,12436,0,0
HIGHLANDS,28,17,0,12080,0,0
NASSAU,45,14,0,10644,0,0
WALTON,66,14,0,10592,0,0
PUTNAM,54,13,0,9591,0,0
COLUMBIA,12,13,0,9021,0,0
FL VIRTUAL,71,3,0,8559,0,0
MONROE,44,11,0,7712,0,0
OKEECHOBEE,47,9,0,6143,0,0
SUWANNEE,61,8,0,5868,0,0
SUMTER,60,7,0,5817,0,0
JACKSON,32,10,0,5620,0,0
HARDEE,25,7,0,4848,0,0
LEVY,38,8,0,4782,0,0
WAKULLA,65,7,0,4699,0,0
DESOTO,14,6,0,4500,0,0
BAKER,02,5,0,4409,0,0
GADSDEN,20,9,0,3947,0,0
WASHINGTON,67,6,0,3148,0,0
HOLMES,30,7,0,3140,0,0
BRADFORD,04,5,0,2929,0,0
GILCHRIST,21,4,0,2812,0,0
UNION,63,3,0,2385,0,0
CALHOUN,07,4,0,2087,0,0
DIXIE,15,4,0,1983,0,0
TAYLOR,62,4,0,1920,0,0
GULF,23,4,0,1913,0,0
MADISON,40,5,0,1763,0,0
HAMILTON,24,2,0,1600,0,0
GLADES,22,3,0,1522,0,0
FAU LAB SCH,72,1,0,1325,0,0
UF LAB SCH,75,1,0,1287,0,0
LIBERTY,39,3,0,1195,0,0
LAFAYETTE,34,2,0,1144,0,0
FRANKLIN,19,1,0,785,0,0
JEFFERSON,33,1,0,715,0,0
FAMU LAB SCH,74,1,0,621,0,0
