district_number,district_name,school_number,school_name,grade,number_of_students,mean_scale_score,percentage_in_level_3_or_above,x1,x2,x3,x4,x5
00,STATE TOTALS,0000,GRADE 03,03,221504,297,50,27,23,25,18,7
01,ALACHUA,0031,CAROLYN BEATRICE PARKER ELEMENTARY,03,100,295,46,34,20,19,18,9
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,03,80,298,53,31,16,24,20,9
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,03,52,289,31,35,35,23,8,0
01,ALACHUA,0081,SIDNEY LANIER CENTER,03,10,270,20,60,20,20,0,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,03,4,NA,NA,NA,NA,NA,NA,NA
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,03,113,306,66,21,12,30,21,15
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,03,82,283,24,55,21,15,9,1
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,03,89,289,36,47,17,9,16,11
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,03,117,297,43,25,32,26,11,5
01,ALACHUA,0171,ARCHER ELEMENTARY,03,93,297,52,28,20,31,15,5
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,03,62,290,34,35,31,21,10,3
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,03,96,287,27,48,25,16,9,2
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,03,103,287,27,48,25,14,9,5
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,03,74,305,68,15,18,35,24,8
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,03,88,282,19,56,25,13,7,0
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,03,108,304,66,13,21,36,21,8
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,03,139,302,58,22,21,27,19,12
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,03,154,304,57,23,20,16,27,14
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,03,129,311,71,9,19,23,29,19
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,03,160,306,63,18,19,24,23,17
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,03,148,293,44,40,16,20,18,5
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,03,113,297,43,32,25,19,18,7
01,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,03,73,303,56,15,29,21,30,5
01,ALACHUA,0950,THE ONE ROOM SCHOOL HOUSE PROJECT,03,23,299,57,30,13,22,22,13
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",03,35,301,46,20,34,11,14,20
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,03,43,304,58,14,28,30,19,9
01,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.",03,14,283,14,50,36,7,7,0
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD,03,15,310,73,7,20,27,33,13
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,03,18,314,83,6,11,33,33,17
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,03,17,308,71,12,18,35,29,6
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,03,19,309,68,0,32,37,21,11
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),03,6,NA,NA,NA,NA,NA,NA,NA
02,BAKER,0013,MACCLENNY ELEMENTARY SCHOOL,03,198,305,62,9,29,33,20,9
02,BAKER,0091,WESTSIDE ELEMENTARY SCHOOL,03,174,305,64,11,25,32,25,7
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCHOOL,03,113,294,42,27,30,27,13,3
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,03,117,285,26,50,25,18,8,0
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,03,102,295,42,25,32,30,9,3
03,BAY,0111,MERRIAM CHERRY STREET ELEM.,03,75,285,21,44,35,13,5,3
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHL,03,94,291,38,34,28,29,9,1
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,03,92,290,36,38,26,22,14,0
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,03,104,299,53,22,25,31,18,4
03,BAY,0211,PARKER ELEMENTARY SCHOOL,03,89,289,33,39,28,24,8,1
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,03,79,302,71,13,16,53,15,3
03,BAY,0241,ST. ANDREW SCHOOL AT OAKLAND TERRACE,03,14,275,7,86,7,7,0,0
03,BAY,0251,WALLER ELEMENTARY SCHOOL,03,75,291,37,35,28,25,9,3
03,BAY,0262,WEST BAY ELEMENTARY SCHOOL,03,58,299,55,26,19,29,22,3
03,BAY,0461,DEER POINT ELEMENTARY SCHOOL,03,111,294,42,33,24,29,7,6
03,BAY,0471,NORTHSIDE ELEMENTARY SCHOOL,03,111,291,40,38,23,24,11,5
03,BAY,0501,TYNDALL ACADEMY,03,105,296,49,32,19,25,21,3
03,BAY,0511,TOMMY SMITH ELEMENTARY SCHOOL,03,121,291,32,38,30,19,9,4
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL,03,105,310,69,7,25,28,26,15
03,BAY,0541,DEANE BOZEMAN SCHOOL,03,72,301,54,19,26,25,24,6
