district_name,school_name,district_number,school_number,number_of_students,ela_level1_num,ela_level2_num,ela_level3_num,ela_level4_num,ela_level5_num,ela_level1,ela_level2,ela_level3,ela_level4,ela_level5
ALACHUA,A. L. MEBANE MIDDLE SCHOOL,01,0221,327,123,82,64,41,19,0.3761467889908257,0.25076452599388377,0.19571865443425077,0.12538226299694188,0.0581039755351682
ALACHUA,A.QUINN JONES CENTER,01,0052,82,53,9,6,5,0,0.6463414634146342,0.10975609756097561,0.07317073170731707,0.06097560975609756,0
ALACHUA,ABRAHAM LINCOLN MIDDLE SCHOOL,01,0112,707,263,94,94,92,164,0.371994342291372,0.13295615275813297,0.13295615275813297,0.13012729844413012,0.23196605374823195
ALACHUA,ALACHUA ELEMENTARY SCHOOL,01,0161,316,100,94,62,41,20,0.31645569620253167,0.2974683544303797,0.1962025316455696,0.12974683544303797,0.06329113924050633
ALACHUA,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),01,7004,108,22,23,31,16,16,0.2037037037037037,0.21296296296296297,0.28703703703703703,0.14814814814814814,0.14814814814814814
ALACHUA,ALACHUA LEARNING ACADEMY ELEMENTARY,01,0957,57,2,6,23,16,10,0.03508771929824561,0.10526315789473684,0.40350877192982454,0.2807017543859649,0.17543859649122806
ALACHUA,ALACHUA LEARNING ACADEMY MIDDLE,01,1011,59,1,6,9,25,18,0.01694915254237288,0.1016949152542373,0.15254237288135594,0.423728813559322,0.3050847457627119
ALACHUA,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),01,7023,26,0,1,4,4,2,0,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.07692307692307693
ALACHUA,ARCHER ELEMENTARY,01,0171,257,63,51,56,54,32,0.245136186770428,0.19844357976653695,0.2178988326848249,0.21011673151750973,0.1245136186770428
ALACHUA,BOULWARE SPRINGS CHARTER,01,1012,65,3,17,22,15,8,0.046153846153846156,0.26153846153846155,0.3384615384615385,0.23076923076923078,0.12307692307692308
ALACHUA,C. W. NORTON ELEMENTARY SCHOOL,01,0541,274,78,61,64,49,23,0.2846715328467153,0.22262773722627738,0.23357664233576642,0.17883211678832117,0.08394160583941605
ALACHUA,CARING & SHARING LEARNING SCHOOL,01,0953,111,21,27,39,15,9,0.1891891891891892,0.24324324324324326,0.35135135135135137,0.13513513513513514,0.08108108108108109
ALACHUA,CAROLYN BEATRICE PARKER ELEMENTARY,01,0031,272,92,46,49,53,33,0.3382352941176471,0.16911764705882354,0.1801470588235294,0.1948529411764706,0.1213235294117647
ALACHUA,CHESTER SHELL ELEMENTARY SCHL,01,0281,182,72,43,34,24,8,0.3956043956043956,0.23626373626373626,0.18681318681318682,0.13186813186813187,0.04395604395604396
ALACHUA,EASTSIDE HIGH SCHOOL,01,0421,648,263,106,66,97,119,0.4058641975308642,0.16358024691358025,0.10185185185185185,0.14969135802469136,0.18364197530864199
ALACHUA,EXPRESSIONS LEARNING ARTS ACAD,01,0956,40,1,4,9,13,13,0.025,0.1,0.225,0.325,0.325
ALACHUA,F. W. BUCHHOLZ HIGH SCHOOL,01,0431,1241,254,205,241,299,242,0.20467365028203063,0.1651893634165995,0.19419822723609992,0.24093473005640612,0.19500402900886382
ALACHUA,FORT CLARKE MIDDLE SCHOOL,01,0481,924,280,191,157,152,138,0.30303030303030304,0.2067099567099567,0.1699134199134199,0.1645021645021645,0.14935064935064934
ALACHUA,GAINESVILLE HIGH SCHOOL,01,0151,930,321,186,121,135,163,0.34516129032258064,0.2,0.13010752688172042,0.14516129032258066,0.17526881720430107
ALACHUA,GLEN SPRINGS ELEMENTARY SCHOOL,01,0331,211,40,41,55,54,22,0.1895734597156398,0.1943127962085308,0.26066350710900477,0.2559241706161137,0.10426540284360189
ALACHUA,HAWTHORNE MIDDLE/HIGH SCHOOL,01,0201,342,152,81,53,44,13,0.4444444444444444,0.23684210526315788,0.15497076023391812,0.1286549707602339,0.038011695906432746
ALACHUA,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,01,0981,54,7,10,13,18,6,0.12962962962962962,0.18518518518518517,0.24074074074074073,0.3333333333333333,0.1111111111111111
ALACHUA,HIDDEN OAK ELEMENTARY SCHOOL,01,0482,378,59,59,106,93,63,0.15608465608465608,0.15608465608465608,0.2804232804232804,0.24603174603174602,0.16666666666666666
ALACHUA,HIGH SPRINGS COMMUNITY SCHOOL,01,0461,672,123,163,163,142,81,0.18303571428571427,0.2425595238095238,0.2425595238095238,0.2113095238095238,0.12053571428571429
ALACHUA,HOSPITAL HOMEBOUND,01,0082,16,0,0,0,0,0,0,0,0,0,0
ALACHUA,HOWARD W. BISHOP MIDDLE SCHOOL,01,0121,807,286,153,135,133,99,0.3543990086741016,0.1895910780669145,0.16728624535315986,0.16480793060718713,0.12267657992565056
ALACHUA,IDYLWILD ELEMENTARY SCHOOL,01,0321,247,93,66,46,29,13,0.3765182186234818,0.26720647773279355,0.1862348178137652,0.11740890688259109,0.05263157894736842
ALACHUA,JOSEPH WILLIAMS ELEM. SCHOOL,01,0111,270,98,46,37,36,53,0.362962962962963,0.17037037037037037,0.13703703703703704,0.13333333333333333,0.1962962962962963
ALACHUA,KANAPAHA MIDDLE SCHOOL,01,0502,1066,341,192,182,195,160,0.3198874296435272,0.1801125703564728,0.17073170731707318,0.18292682926829268,0.150093808630394
ALACHUA,KIMBALL WILES ELEM. SCHOOL,01,0501,425,71,85,79,113,77,0.16705882352941176,0.2,0.18588235294117647,0.26588235294117646,0.1811764705882353
ALACHUA,LAKE FOREST ELEMENTARY SCHOOL,01,0071,150,67,46,25,12,1,0.44666666666666666,0.30666666666666664,0.16666666666666666,0.08,0.006666666666666667
ALACHUA,LAWTON M. CHILES ELEM. SCHOOL,01,0510,346,38,60,83,86,79,0.10982658959537572,0.17341040462427745,0.2398843930635838,0.24855491329479767,0.22832369942196531
ALACHUA,LITTLEWOOD ELEMENTARY SCHOOL,01,0091,326,73,51,69,72,61,0.22392638036809817,0.15644171779141106,0.2116564417177914,0.22085889570552147,0.18711656441717792
ALACHUA,MARJORIE KINNAN RAWLINGS ELEM,01,0341,203,115,45,28,14,2,0.5665024630541872,0.22167487684729065,0.13793103448275862,0.06896551724137931,0.009852216748768473
ALACHUA,MEADOWBROOK ELEMENTARY SCHOOL,01,0520,444,89,83,87,109,77,0.20045045045045046,0.18693693693693694,0.19594594594594594,0.24549549549549549,0.17342342342342343
ALACHUA,MICANOPY ACADEMY,01,0961,73,14,15,15,16,8,0.1917808219178082,0.2054794520547945,0.2054794520547945,0.2191780821917808,0.1095890410958904
ALACHUA,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",01,0951,107,19,24,27,22,15,0.17757009345794392,0.22429906542056074,0.2523364485981308,0.205607476635514,0.14018691588785046
ALACHUA,MYRA TERWILLIGER ELEM. SCHOOL,01,0311,249,109,68,45,20,9,0.43775100401606426,0.27309236947791166,0.18072289156626506,0.08032128514056225,0.03614457831325301
ALACHUA,NEWBERRY ELEMENTARY SCHOOL,01,0531,273,89,50,66,48,20,0.326007326007326,0.18315018315018314,0.24175824175824176,0.17582417582417584,0.07326007326007326
ALACHUA,NEWBERRY HIGH SCHOOL,01,0261,381,92,86,72,86,44,0.24146981627296588,0.22572178477690288,0.1889763779527559,0.22572178477690288,0.11548556430446194
ALACHUA,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,01,1003,48,30,4,4,2,0,0.625,0.08333333333333333,0.08333333333333333,0.041666666666666664,0
ALACHUA,OAK VIEW MIDDLE SCHOOL,01,0591,961,279,189,194,159,140,0.2903225806451613,0.19667013527575442,0.20187304890738814,0.16545265348595214,0.14568158168574402
ALACHUA,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH,01,0411,149,25,28,25,36,35,0.16778523489932887,0.18791946308724833,0.16778523489932887,0.24161073825503357,0.2348993288590604
ALACHUA,RESILIENCE CHARTER SCHOOL INC,01,1013,102,35,21,25,12,9,0.3431372549019608,0.20588235294117646,0.24509803921568626,0.11764705882352941,0.08823529411764706
ALACHUA,SANTA FE HIGH SCHOOL,01,0271,598,167,117,120,128,66,0.2792642140468227,0.1956521739130435,0.20066889632107024,0.2140468227424749,0.11036789297658862
ALACHUA,"SIATECH MYCROSCHOOL, INC.",01,0991,24,11,1,1,2,1,0.4583333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664
ALACHUA,SIDNEY LANIER CENTER,01,0081,25,6,2,2,0,0,0.24,0.08,0.08,0,0
ALACHUA,STEPHEN FOSTER ELEMENTARY SCHL,01,0041,258,88,45,44,51,30,0.34108527131782945,0.1744186046511628,0.17054263565891473,0.19767441860465115,0.11627906976744186
ALACHUA,"THE EINSTEIN SCHOOL, INC.",01,0955,93,63,21,5,3,1,0.6774193548387096,0.22580645161290322,0.053763440860215055,0.03225806451612903,0.010752688172043012
ALACHUA,THE ONE ROOM SCHOOL HOUSE PROJECT,01,0950,68,19,15,18,9,7,0.27941176470588236,0.22058823529411764,0.2647058823529412,0.1323529411764706,0.10294117647058823
ALACHUA,W. A. METCALFE ELEMENTARY SCHOOL,01,0101,205,102,50,37,14,1,0.4975609756097561,0.24390243902439024,0.18048780487804877,0.06829268292682927,0.004878048780487805
ALACHUA,WESTWOOD MIDDLE SCHOOL,01,0141,823,347,140,126,114,96,0.42162818955042525,0.1701093560145808,0.15309842041312272,0.1385176184690158,0.1166464155528554
ALACHUA,WILLIAM S. TALBOT ELEM SCHOOL,01,0561,286,47,60,70,71,38,0.16433566433566432,0.2097902097902098,0.24475524475524477,0.24825174825174826,0.13286713286713286
BAKER,BAKER COUNTY MIDDLE SCHOOL,02,0032,1027,335,219,212,164,95,0.32619279454722494,0.21324245374878287,0.20642648490749757,0.1596884128529698,0.09250243427458617
BAKER,BAKER COUNTY SENIOR HIGH SCHOOL,02,0012,721,252,137,137,123,76,0.34951456310679613,0.1900138696255201,0.1900138696255201,0.17059639389736478,0.10540915395284327
BAKER,J FRANKLYN KELLER INTERMEDIATE SCHOOL,02,0031,702,228,141,149,121,59,0.3247863247863248,0.20085470085470086,0.21225071225071226,0.17236467236467237,0.08404558404558404
BAKER,MACCLENNY ELEMENTARY SCHOOL,02,0013,198,18,57,65,40,18,0.09090909090909091,0.2878787878787879,0.3282828282828283,0.20202020202020202,0.09090909090909091
BAKER,WESTSIDE ELEMENTARY SCHOOL,02,0091,174,19,44,56,44,12,0.10919540229885058,0.25287356321839083,0.3218390804597701,0.25287356321839083,0.06896551724137931
BAY,A. CRAWFORD MOSLEY HIGH SCHOOL,03,0491,846,255,178,164,165,89,0.30141843971631205,0.21040189125295508,0.1938534278959811,0.1950354609929078,0.10520094562647754
BAY,A. GARY WALSINGHAM ACADEMY,03,0611,34,5,11,8,4,6,0.14705882352941177,0.3235294117647059,0.23529411764705882,0.11764705882352941,0.17647058823529413
BAY,AMIKIDS MARITIME ACADEMY,03,0764,26,3,4,5,8,6,0.11538461538461539,0.15384615384615385,0.19230769230769232,0.3076923076923077,0.23076923076923078
BAY,BAY HAVEN CHARTER ACADEMY,03,0701,388,54,98,106,91,39,0.13917525773195877,0.25257731958762886,0.27319587628865977,0.2345360824742268,0.10051546391752578
BAY,BAY HAVEN CHARTER MIDDLE SCHOOL,03,0711,426,54,107,121,87,59,0.1267605633802817,0.2511737089201878,0.284037558685446,0.20422535211267606,0.13849765258215962
BAY,BAY HIGH SCHOOL,03,0061,597,168,148,114,104,63,0.2814070351758794,0.24790619765494137,0.19095477386934673,0.17420435510887772,0.10552763819095477
BAY,BAY VIRTUAL FRANCHISE,03,7004,42,0,0,0,0,0,0,0,0,0,0
BAY,BAY VIRTUAL INSTRUCTION PROGRAM,03,7001,5,0,0,0,0,0,0,0,0,0,0
BAY,BAY VIRTUAL INSTRUCTION PROGRAM,03,7023,66,9,19,8,8,9,0.13636363636363635,0.2878787878787879,0.12121212121212122,0.12121212121212122,0.13636363636363635
BAY,BREAKFAST POINT ACADEMY,03,0571,804,174,192,201,160,79,0.21641791044776118,0.23880597014925373,0.25,0.19900497512437812,0.09825870646766169
BAY,CALLAWAY ELEMENTARY SCHOOL,03,0101,233,65,62,71,24,10,0.27896995708154504,0.26609442060085836,0.30472103004291845,0.10300429184549356,0.04291845493562232
BAY,CEDAR GROVE ELEMENTARY SCHOOL,03,0091,305,165,75,40,23,4,0.5409836065573771,0.2459016393442623,0.13114754098360656,0.07540983606557378,0.013114754098360656
BAY,CENTRAL HIGH SCHOOL,03,0782,46,32,5,4,2,3,0.6956521739130435,0.10869565217391304,0.08695652173913043,0.043478260869565216,0.06521739130434782
BAY,DEANE BOZEMAN SCHOOL,03,0541,1056,294,262,239,191,70,0.2784090909090909,0.2481060606060606,0.22632575757575757,0.18087121212121213,0.06628787878787878
BAY,DEER POINT ELEMENTARY SCHOOL,03,0461,301,95,70,80,41,14,0.31561461794019935,0.23255813953488372,0.26578073089701,0.1362126245847176,0.046511627906976744
BAY,HILAND PARK ELEMENTARY SCHOOL,03,0151,262,82,61,60,45,15,0.31297709923664124,0.23282442748091603,0.22900763358778625,0.1717557251908397,0.05725190839694656
BAY,HUTCHISON BEACH ELEMENTARY SCHOOL,03,0081,332,94,91,78,55,14,0.28313253012048195,0.2740963855421687,0.23493975903614459,0.16566265060240964,0.04216867469879518
BAY,J.R. ARNOLD HIGH SCHOOL,03,0551,809,223,186,170,149,77,0.27564894932014833,0.22991347342398022,0.21013597033374537,0.1841779975278121,0.09517923362175525
BAY,JINKS MIDDLE SCHOOL,03,0161,544,268,104,81,66,25,0.49264705882352944,0.19117647058823528,0.1488970588235294,0.1213235294117647,0.04595588235294118
BAY,LUCILLE MOORE ELEMENTARY SCHL,03,0131,237,79,62,63,24,9,0.3333333333333333,0.2616033755274262,0.26582278481012656,0.10126582278481013,0.0379746835443038
BAY,LYNN HAVEN ELEMENTARY SCHOOL,03,0171,301,69,78,80,55,19,0.2292358803986711,0.2591362126245847,0.26578073089701,0.18272425249169436,0.06312292358803986
BAY,MERRIAM CHERRY STREET ELEM.,03,0111,199,71,69,37,15,7,0.35678391959798994,0.34673366834170855,0.18592964824120603,0.07537688442211055,0.035175879396984924
BAY,MERRITT BROWN MIDDLE SCHOOL,03,0071,645,259,165,109,78,32,0.4015503875968992,0.2558139534883721,0.16899224806201552,0.12093023255813953,0.04961240310077519
BAY,MOWAT MIDDLE SCHOOL,03,0331,837,265,193,179,142,62,0.31660692951015534,0.23058542413381122,0.21385902031063322,0.16965352449223417,0.07407407407407407
BAY,NEW HORIZONS LEARNING CENTER,03,0531,60,40,2,3,2,0,0.6666666666666666,0.03333333333333333,0.05,0.03333333333333333,0
BAY,NORTH BAY HAVEN CAREER ACADEMY,03,0741,459,60,83,108,122,85,0.13071895424836602,0.18082788671023964,0.23529411764705882,0.2657952069716776,0.18518518518518517
BAY,NORTH BAY HAVEN CHARTER ACADEMY ELEM SCHOOL,03,0751,372,49,79,89,110,45,0.13172043010752688,0.21236559139784947,0.239247311827957,0.2956989247311828,0.12096774193548387
BAY,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,03,0731,519,81,102,132,130,74,0.15606936416184972,0.19653179190751446,0.2543352601156069,0.2504816955684008,0.14258188824662812
BAY,NORTHSIDE ELEMENTARY SCHOOL,03,0471,293,103,71,69,39,13,0.3515358361774744,0.24232081911262798,0.2354948805460751,0.13310580204778158,0.04436860068259386
BAY,PALM BAY ELEMENTARY SCHOOL,03,0801,132,24,37,43,19,10,0.18181818181818182,0.2803030303030303,0.32575757575757575,0.14393939393939395,0.07575757575757576
BAY,PALM BAY PREPARATORY ACADEMY 6-12,03,0771,169,42,42,38,33,14,0.2485207100591716,0.2485207100591716,0.22485207100591717,0.1952662721893491,0.08284023668639054
BAY,PARKER ELEMENTARY SCHOOL,03,0211,220,75,63,47,27,9,0.3409090909090909,0.2863636363636364,0.21363636363636362,0.12272727272727273,0.04090909090909091
BAY,PATRONIS ELEMENTARY SCHOOL,03,0521,308,34,70,86,72,46,0.11038961038961038,0.22727272727272727,0.2792207792207792,0.23376623376623376,0.14935064935064934
BAY,RISING LEADERS ACADEMY,03,2701,172,14,33,33,44,35,0.08139534883720931,0.19186046511627908,0.19186046511627908,0.2558139534883721,0.20348837209302326
BAY,ROSENWALD HIGH SCHOOL,03,0581,127,110,12,0,2,1,0.8661417322834646,0.09448818897637795,0,0.015748031496062992,0.007874015748031496
BAY,RUTHERFORD HIGH SCHOOL,03,0341,944,521,197,122,76,29,0.551906779661017,0.2086864406779661,0.1292372881355932,0.08050847457627118,0.03072033898305085
BAY,SOUTHPORT ELEMENTARY SCHOOL,03,0221,232,27,52,86,52,15,0.11637931034482758,0.22413793103448276,0.3706896551724138,0.22413793103448276,0.06465517241379311
BAY,ST. ANDREW SCHOOL AT OAKLAND TERRACE,03,0241,45,32,8,2,2,1,0.7111111111111111,0.17777777777777778,0.044444444444444446,0.044444444444444446,0.022222222222222223
BAY,SURFSIDE MIDDLE SCHOOL,03,0201,830,217,199,174,144,100,0.26144578313253014,0.2397590361445783,0.20963855421686747,0.17349397590361446,0.12048192771084337
BAY,TOMMY SMITH ELEMENTARY SCHOOL,03,0511,302,82,81,78,38,22,0.271523178807947,0.2682119205298013,0.2582781456953642,0.12582781456953643,0.0728476821192053
BAY,TYNDALL ACADEMY,03,0501,448,82,93,112,121,41,0.18303571428571427,0.20758928571428573,0.25,0.2700892857142857,0.09151785714285714
BAY,UNIVERSITY ACADEMY SABL INC,03,2711,491,13,60,149,156,115,0.026476578411405296,0.12219959266802444,0.3034623217922607,0.31771894093686354,0.23421588594704684
BAY,WALLER ELEMENTARY SCHOOL,03,0251,197,59,47,54,30,8,0.29949238578680204,0.23857868020304568,0.27411167512690354,0.15228426395939088,0.04060913705583756
BAY,WEST BAY ELEMENTARY SCHOOL,03,0262,157,41,28,40,39,9,0.2611464968152866,0.17834394904458598,0.25477707006369427,0.2484076433121019,0.05732484076433121
BRADFORD,BRADFORD HIGH SCHOOL,04,0021,393,191,83,59,43,21,0.4860050890585242,0.21119592875318066,0.15012722646310434,0.10941475826972011,0.05343511450381679
BRADFORD,BRADFORD MIDDLE SCHOOL,04,0172,592,281,151,81,61,20,0.47466216216216217,0.25506756756756754,0.13682432432432431,0.10304054054054054,0.033783783783783786
BRADFORD,BRADFORD VIRTUAL FRANCHISE WITH FLVS,04,7004,3,0,0,0,0,0,0,0,0,0,0
BRADFORD,BRADFORD VIRTUAL INSTRUC (DISTRICT PROVIDED),04,7023,1,0,0,0,0,0,0,0,0,0,0
BRADFORD,LAWTEY ELEMENTARY SCHOOL,04,0131,116,24,17,41,22,12,0.20689655172413793,0.14655172413793102,0.35344827586206895,0.1896551724137931,0.10344827586206896
BRADFORD,SOUTHSIDE ELEMENTARY SCHOOL,04,0081,288,92,64,77,43,15,0.3194444444444444,0.2222222222222222,0.2673611111111111,0.14930555555555555,0.052083333333333336
BRADFORD,STARKE ELEMENTARY SCHOOL,04,0051,235,69,57,60,43,5,0.2936170212765957,0.2425531914893617,0.2553191489361702,0.1829787234042553,0.02127659574468085
BREVARD,ANDREW JACKSON MIDDLE SCHOOL,05,0141,502,153,95,125,80,48,0.3047808764940239,0.1892430278884462,0.24900398406374502,0.1593625498007968,0.09561752988047809
BREVARD,APOLLO ELEMENTARY SCHOOL,05,0061,396,140,95,76,62,23,0.35353535353535354,0.2398989898989899,0.1919191919191919,0.15656565656565657,0.05808080808080808
BREVARD,ASTRONAUT HIGH SCHOOL,05,0161,561,177,134,112,90,51,0.3155080213903743,0.23885918003565063,0.19964349376114082,0.16042780748663102,0.09090909090909091
BREVARD,ATLANTIS ELEMENTARY SCHOOL,05,0201,336,65,73,88,79,32,0.19345238095238096,0.21726190476190477,0.2619047619047619,0.23511904761904762,0.09523809523809523
BREVARD,AUDUBON ELEMENTARY SCHOOL,05,4051,235,53,47,69,44,22,0.225531914893617,0.2,0.2936170212765957,0.18723404255319148,0.09361702127659574
BREVARD,BAYSIDE HIGH SCHOOL,05,2211,943,320,212,184,151,75,0.33934252386002123,0.22481442205726404,0.1951219512195122,0.16012725344644752,0.07953340402969247
