district_number,district_name,school_number,school_name,grade,number_of_students,mean_scale_score,percentage_in_level_3_or_above,x1,x2,x3,x4,x5
00,STATE TOTALS,0000,GRADE 03,03,221011,300,59,24,17,25,23,11
01,ALACHUA,0031,CAROLYN BEATRICE PARKER ELEMENTARY,03,100,292,42,36,22,23,11,8
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,03,80,297,46,35,19,13,21,13
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,03,53,287,40,42,19,28,9,2
01,ALACHUA,0081,SIDNEY LANIER CENTER,03,10,NA,0,NA,NA,NA,NA,NA
01,ALACHUA,0082,HOSPITAL HOMEBOUND,03,4,NA,NA,NA,NA,NA,NA,NA
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,03,111,304,65,15,20,23,23,18
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,03,82,279,20,54,27,13,5,1
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,03,88,289,38,55,8,8,13,17
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,03,117,293,47,33,20,27,15,4
01,ALACHUA,0171,ARCHER ELEMENTARY,03,93,302,58,23,19,19,23,16
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,03,61,282,36,54,10,26,8,2
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,03,96,288,35,36,28,19,7,9
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,03,104,282,24,54,22,16,6,2
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,03,74,296,59,24,16,34,16,9
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,03,87,275,17,60,23,10,6,1
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,03,108,304,72,12,16,31,31,10
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,03,139,299,56,22,22,30,17,9
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,03,153,302,65,25,10,24,25,15
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,03,129,310,79,16,5,32,27,20
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,03,160,307,69,19,13,25,27,17
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,03,148,288,41,41,18,22,18,1
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,03,112,288,40,41,19,23,12,5
01,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,03,73,304,70,12,18,34,23,12
01,ALACHUA,0950,THE ONE ROOM SCHOOL HOUSE PROJECT,03,23,302,65,22,13,26,35,4
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",03,35,309,71,11,17,26,26,20
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,03,43,311,79,2,19,30,33,16
01,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.",03,14,272,0,71,29,0,0,0
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD,03,15,303,60,20,20,33,13,13
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,03,18,311,94,0,6,50,39,6
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,03,17,300,71,18,12,47,18,6
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,03,19,310,84,11,5,47,21,16
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),03,5,NA,NA,NA,NA,NA,NA,NA
02,BAKER,0013,MACCLENNY ELEMENTARY SCHOOL,03,198,310,85,5,10,38,32,14
02,BAKER,0091,WESTSIDE ELEMENTARY SCHOOL,03,174,302,64,16,20,30,26,7
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCHOOL,03,111,292,44,30,26,26,15,3
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,03,117,279,25,57,18,20,5,0
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,03,102,297,52,21,27,26,21,5
03,BAY,0111,MERRIAM CHERRY STREET ELEM.,03,76,287,32,41,28,18,11,3
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHL,03,95,292,51,33,17,35,13,3
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,03,92,292,43,34,23,27,11,5
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,03,104,296,48,27,25,29,13,6
03,BAY,0211,PARKER ELEMENTARY SCHOOL,03,89,287,34,46,20,25,6,3
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,03,79,303,70,11,19,38,27,5
03,BAY,0241,ST. ANDREW SCHOOL AT OAKLAND TERRACE,03,13,273,8,62,31,0,8,0
03,BAY,0251,WALLER ELEMENTARY SCHOOL,03,75,292,40,27,33,28,8,4
03,BAY,0262,WEST BAY ELEMENTARY SCHOOL,03,59,296,46,22,32,29,14,3
03,BAY,0461,DEER POINT ELEMENTARY SCHOOL,03,112,296,53,25,22,29,17,6
03,BAY,0471,NORTHSIDE ELEMENTARY SCHOOL,03,111,290,45,36,19,24,17,4
03,BAY,0501,TYNDALL ACADEMY,03,103,296,51,26,22,28,16,8
03,BAY,0511,TOMMY SMITH ELEMENTARY SCHOOL,03,121,295,53,30,17,30,19,4
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL,03,105,309,71,8,21,27,28,17
03,BAY,0541,DEANE BOZEMAN SCHOOL,03,72,303,65,18,17,31,24,11
03,BAY,0571,BREAKFAST POINT ACADEMY,03,109,301,66,20,14,36,17,13
03,BAY,0611,A. GARY WALSINGHAM ACADEMY,03,34,300,50,12,38,24,18,9
03,BAY,0701,BAY HAVEN CHARTER ACADEMY,03,125,309,77,6,18,27,41,9
03,BAY,0751,NORTH BAY HAVEN CHARTER ACADEMY ELEM SCHOOL,03,108,317,85,4,11,21,36,28
03,BAY,0801,PALM BAY ELEMENTARY SCHOOL,03,55,301,56,16,27,27,16,13
03,BAY,2701,RISING LEADERS ACADEMY,03,34,308,71,12,18,26,26,18
03,BAY,2711,UNIVERSITY ACADEMY SABL INC,03,80,318,91,0,9,23,46,23
03,BAY,7001,BAY VIRTUAL INSTRUCTION PROGRAM,03,1,NA,NA,NA,NA,NA,NA,NA
03,BAY,7004,BAY VIRTUAL FRANCHISE,03,5,NA,NA,NA,NA,NA,NA,NA
04,BRADFORD,0051,STARKE ELEMENTARY SCHOOL,03,77,297,55,23,22,30,21,4
04,BRADFORD,0081,SOUTHSIDE ELEMENTARY SCHOOL,03,107,292,43,36,21,21,18,5
04,BRADFORD,0131,LAWTEY ELEMENTARY SCHOOL,03,46,306,65,20,15,13,30,22
04,BRADFORD,7023,BRADFORD VIRTUAL INSTRUC (DISTRICT PROVIDED),03,1,NA,NA,NA,NA,NA,NA,NA
05,BREVARD,0051,OAK PARK ELEMENTARY SCHOOL,03,54,280,31,52,17,17,15,0
05,BREVARD,0061,APOLLO ELEMENTARY SCHOOL,03,106,282,25,52,23,17,8,1
05,BREVARD,0089,GARDENDALE SEPARATE DAY SCHOOL,03,3,NA,NA,NA,NA,NA,NA,NA
05,BREVARD,0091,COQUINA ELEMENTARY SCHOOL,03,61,290,38,33,30,21,10,7
05,BREVARD,0101,MIMS ELEMENTARY SCHOOL,03,80,283,23,44,34,14,8,1
05,BREVARD,0122,SOUTH LAKE ELEMENTARY,03,54,312,93,4,4,41,39,13
05,BREVARD,0151,IMPERIAL ESTATES ELEM. SCHOOL,03,80,299,60,24,16,29,23,9
05,BREVARD,0181,PINEWOOD ELEMENTARY SCHOOL,03,60,296,55,28,17,28,23,3
05,BREVARD,0191,CHALLENGER 7 ELEMENTARY SCHOOL,03,75,299,57,20,23,31,23,4
05,BREVARD,0201,ATLANTIS ELEMENTARY SCHOOL,03,98,301,63,19,17,33,24,6
05,BREVARD,0301,ENTERPRISE ELEMENTARY SCHOOL,03,79,309,77,10,13,27,33,18
05,BREVARD,1028,DEVEREUX HOSPITAL,03,4,NA,NA,NA,NA,NA,NA,NA
05,BREVARD,1041,CAMBRIDGE ELEM MAGNET SCHOOL,03,63,284,32,43,25,21,10,2
05,BREVARD,1051,ENDEAVOUR ELEMENTARY SCHOOL,03,101,281,26,50,24,15,9,2
05,BREVARD,1071,GOLFVIEW ELEMENTARY MAGNET SCHOOL,03,69,288,42,41,17,29,12,1
05,BREVARD,1091,FAIRGLEN ELEMENTARY SCHOOL,03,71,285,27,48,25,13,13,1
05,BREVARD,1131,SATURN ELEMENTARY SCHOOL,03,90,281,27,52,21,17,10,0
05,BREVARD,1141,HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL,03,87,298,55,24,21,24,28,3
05,BREVARD,1151,RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL,03,54,296,46,24,30,24,17,6
05,BREVARD,1161,MANATEE ELEMENTARY SCHOOL,03,127,315,85,9,6,20,39,26
05,BREVARD,2031,MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL,03,217,303,64,16,21,24,24,16
05,BREVARD,2042,W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE,03,71,319,90,4,6,23,34,34
05,BREVARD,2051,UNIVERSITY PARK ELEMENTARY SCHOOL,03,63,284,37,41,22,21,11,5
05,BREVARD,2061,PORT MALABAR ELEMENTARY SCHOOL,03,77,298,58,21,21,30,18,10
05,BREVARD,2081,PALM BAY ELEMENTARY SCHOOL,03,67,291,34,37,28,12,21,1
05,BREVARD,2111,LOCKMAR ELEMENTARY SCHOOL,03,67,299,60,24,16,30,18,12
05,BREVARD,2121,"JOHN F. TURNER, SENIOR ELEMENTARY SCHOOL",03,69,292,45,36,19,28,14,3
05,BREVARD,2131,COLUMBIA ELEMENTARY SCHOOL,03,59,292,41,22,37,27,14,0
05,BREVARD,2151,DISCOVERY ELEMENTARY SCHOOL,03,100,290,40,33,27,31,6,3
05,BREVARD,2161,CHRISTA MCAULIFFE ELEM. SCHOOL,03,87,303,67,17,16,29,28,10
05,BREVARD,2171,RIVIERA ELEMENTARY SCHOOL,03,86,300,58,21,21,27,24,7
05,BREVARD,2191,JUPITER ELEMENTARY SCHOOL,03,117,295,49,30,21,25,17,7
05,BREVARD,2212,WESTSIDE ELEMENTARY SCHOOL,03,116,299,57,18,25,33,16,9
05,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,03,97,300,64,16,20,32,25,7
05,BREVARD,3041,SHERWOOD ELEMENTARY SCHOOL,03,75,304,69,13,17,28,24,17
05,BREVARD,3061,HARBOR CITY ELEMENTARY SCHOOL,03,47,296,49,23,28,23,19,6
05,BREVARD,3071,SABAL ELEMENTARY SCHOOL,03,64,296,53,25,22,23,22,8
05,BREVARD,3091,CROTON ELEMENTARY SCHOOL,03,62,296,55,31,15,23,21,11
05,BREVARD,3101,ROY ALLEN ELEMENTARY SCHOOL,03,93,304,68,15,17,26,33,9
05,BREVARD,3121,SUNTREE ELEMENTARY SCHOOL,03,90,312,87,8,6,30,40,17
05,BREVARD,3131,LONGLEAF ELEMENTARY SCHOOL,03,83,312,82,4,14,30,33,19
05,BREVARD,3151,QUEST ELEMENTARY SCHOOL,03,134,305,67,16,17,24,26,17
05,BREVARD,3161,VIERA ELEMENTARY SCHOOL,03,92,319,91,3,5,18,45,28
05,BREVARD,4031,MILA ELEMENTARY SCHOOL,03,49,286,37,45,18,24,10,2
05,BREVARD,4041,TROPICAL ELEMENTARY SCHOOL,03,94,300,61,18,21,31,24,5
05,BREVARD,4051,AUDUBON ELEMENTARY SCHOOL,03,53,303,66,17,17,36,13,17
05,BREVARD,4071,ROBERT L. STEVENSON ELEMENTARY SCHOOL,03,70,312,84,1,14,30,40,14
05,BREVARD,4121,LEWIS CARROLL ELEMENTARY SCHL,03,82,312,78,10,12,29,20,29
05,BREVARD,5012,THEODORE ROOSEVELT ELEMENTARY SCHOOL,03,45,302,60,13,27,22,31,7
