district_name,school_name,district_number,school_number,number_of_students_math,math_level1_num,math_level2_num,math_level3_num,math_level4_num,math_level5_num,math_level1,math_level2,math_level3,math_level4,math_level5
ALACHUA,A. L. MEBANE MIDDLE SCHOOL,01,0221,284,82,77,62,50,14,0.2887323943661972,0.2711267605633803,0.21830985915492956,0.176056338028169,0.04929577464788732
ALACHUA,A.QUINN JONES CENTER,01,0052,49,37,6,6,0,0,0.7551020408163265,0.12244897959183673,0.12244897959183673,0,0
ALACHUA,ABRAHAM LINCOLN MIDDLE SCHOOL,01,0112,532,186,108,77,46,115,0.34962406015037595,0.20300751879699247,0.14473684210526316,0.08646616541353383,0.2161654135338346
ALACHUA,ALACHUA ELEMENTARY SCHOOL,01,0161,317,128,62,69,40,16,0.4037854889589905,0.19558359621451105,0.21766561514195584,0.12618296529968454,0.050473186119873815
ALACHUA,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),01,7004,46,19,10,8,6,3,0.41304347826086957,0.21739130434782608,0.17391304347826086,0.13043478260869565,0.06521739130434782
ALACHUA,ALACHUA LEARNING ACADEMY ELEMENTARY,01,0957,57,2,3,17,22,13,0.03508771929824561,0.05263157894736842,0.2982456140350877,0.38596491228070173,0.22807017543859648
ALACHUA,ALACHUA LEARNING ACADEMY MIDDLE,01,1011,52,1,1,14,21,15,0.019230769230769232,0.019230769230769232,0.2692307692307692,0.40384615384615385,0.28846153846153844
ALACHUA,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),01,7023,25,4,1,1,3,2,0.16,0.04,0.04,0.12,0.08
ALACHUA,ARCHER ELEMENTARY,01,0171,257,54,47,49,64,43,0.21011673151750973,0.1828793774319066,0.19066147859922178,0.2490272373540856,0.16731517509727625
ALACHUA,BOULWARE SPRINGS CHARTER,01,1012,65,6,7,29,13,10,0.09230769230769231,0.1076923076923077,0.4461538461538462,0.2,0.15384615384615385
ALACHUA,C. W. NORTON ELEMENTARY SCHOOL,01,0541,270,97,53,58,37,28,0.3592592592592593,0.1962962962962963,0.21481481481481482,0.13703703703703704,0.1037037037037037
ALACHUA,CARING & SHARING LEARNING SCHOOL,01,0953,111,11,20,32,31,17,0.0990990990990991,0.18018018018018017,0.2882882882882883,0.27927927927927926,0.15315315315315314
ALACHUA,CAROLYN BEATRICE PARKER ELEMENTARY,01,0031,272,86,57,50,40,39,0.3161764705882353,0.20955882352941177,0.18382352941176472,0.14705882352941177,0.14338235294117646
ALACHUA,CHESTER SHELL ELEMENTARY SCHL,01,0281,181,96,34,35,13,3,0.5303867403314917,0.1878453038674033,0.19337016574585636,0.0718232044198895,0.016574585635359115
ALACHUA,EXPRESSIONS LEARNING ARTS ACAD,01,0956,40,4,5,13,8,10,0.1,0.125,0.325,0.2,0.25
ALACHUA,FORT CLARKE MIDDLE SCHOOL,01,0481,766,279,145,143,116,84,0.3642297650130548,0.18929503916449086,0.1866840731070496,0.1514360313315927,0.10966057441253264
ALACHUA,GLEN SPRINGS ELEMENTARY SCHOOL,01,0331,210,58,31,61,42,18,0.2761904761904762,0.14761904761904762,0.2904761904761905,0.2,0.08571428571428572
ALACHUA,HAWTHORNE MIDDLE/HIGH SCHOOL,01,0201,166,80,46,23,12,5,0.4819277108433735,0.27710843373493976,0.13855421686746988,0.07228915662650602,0.030120481927710843
ALACHUA,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,01,0981,54,8,6,24,11,5,0.14814814814814814,0.1111111111111111,0.4444444444444444,0.2037037037037037,0.09259259259259259
ALACHUA,HIDDEN OAK ELEMENTARY SCHOOL,01,0482,376,60,48,85,82,102,0.1595744680851064,0.1276595744680851,0.22606382978723405,0.21808510638297873,0.2712765957446808
ALACHUA,HIGH SPRINGS COMMUNITY SCHOOL,01,0461,578,62,75,165,155,116,0.10726643598615918,0.12975778546712802,0.28546712802768165,0.2681660899653979,0.20069204152249134
ALACHUA,HOSPITAL HOMEBOUND,01,0082,13,0,0,0,0,0,0,0,0,0,0
ALACHUA,HOWARD W. BISHOP MIDDLE SCHOOL,01,0121,639,248,138,132,72,52,0.38810641627543035,0.215962441314554,0.20657276995305165,0.11267605633802817,0.081377151799687
ALACHUA,IDYLWILD ELEMENTARY SCHOOL,01,0321,247,110,48,51,28,10,0.44534412955465585,0.19433198380566802,0.20647773279352227,0.11336032388663968,0.04048582995951417
ALACHUA,JOSEPH WILLIAMS ELEM. SCHOOL,01,0111,270,119,28,27,24,71,0.44074074074074077,0.1037037037037037,0.1,0.08888888888888889,0.26296296296296295
ALACHUA,KANAPAHA MIDDLE SCHOOL,01,0502,843,241,176,161,149,116,0.2858837485172005,0.20877817319098457,0.19098457888493475,0.1767497034400949,0.1376037959667853
ALACHUA,KIMBALL WILES ELEM. SCHOOL,01,0501,424,79,51,94,110,91,0.18632075471698112,0.12028301886792453,0.22169811320754718,0.25943396226415094,0.21462264150943397
ALACHUA,LAKE FOREST ELEMENTARY SCHOOL,01,0071,151,79,27,29,12,3,0.5231788079470199,0.17880794701986755,0.19205298013245034,0.07947019867549669,0.019867549668874173
ALACHUA,LAWTON M. CHILES ELEM. SCHOOL,01,0510,345,58,25,74,88,100,0.1681159420289855,0.07246376811594203,0.2144927536231884,0.25507246376811593,0.2898550724637681
ALACHUA,LITTLEWOOD ELEMENTARY SCHOOL,01,0091,325,69,51,67,71,65,0.2123076923076923,0.15692307692307692,0.20615384615384616,0.21846153846153846,0.2
ALACHUA,MARJORIE KINNAN RAWLINGS ELEM,01,0341,203,107,43,28,21,4,0.5270935960591133,0.21182266009852216,0.13793103448275862,0.10344827586206896,0.019704433497536946
ALACHUA,MEADOWBROOK ELEMENTARY SCHOOL,01,0520,445,74,46,105,116,103,0.1662921348314607,0.10337078651685393,0.23595505617977527,0.2606741573033708,0.23146067415730337
ALACHUA,MICANOPY ACADEMY,01,0961,45,6,8,12,10,0,0.13333333333333333,0.17777777777777778,0.26666666666666666,0.2222222222222222,0
ALACHUA,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",01,0951,107,21,18,27,25,16,0.19626168224299065,0.16822429906542055,0.2523364485981308,0.2336448598130841,0.14953271028037382
ALACHUA,MYRA TERWILLIGER ELEM. SCHOOL,01,0311,250,110,54,48,23,15,0.44,0.216,0.192,0.092,0.06
