File Name,REC. TIME,EVENT#,CALL TYPE,LOCATION,Pd Zone:,Pd Grid:,Validation Link
10402 N 56th.pdf,14:02,2022034861,1006-Busy,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=0&page=0
10402 N 56th.pdf,09:04,2022035363,1006-Busy,10402 N 56th St.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=1&page=0
10402 N 56th.pdf,09:19,2022035367,S68-Police Service C,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=2&page=0
10402 N 56th.pdf,14:42,2022035414,1006-Busy,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=3&page=0
10402 N 56th.pdf,06:21,2022035532,DP-Directed Patrol,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=4&page=0
10402 N 56th.pdf,07:34,2022035542,1006-Busy,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=5&page=0
10402 N 56th.pdf,06:52,2022036045,STER-Traffic Enforce,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=6&page=0
10402 N 56th.pdf,06:57,2022036175,STER-Traffic Enforce,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=7&page=0
10402 N 56th.pdf,06:58,2022036176,STER-Traffic Enforce,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=8&page=0
10402 N 56th.pdf,07:18,2022036183,T-Traffic Stop,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=9&page=0
10402 N 56th.pdf,07:03,2022036324,STER-Traffic Enforce,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=10&page=0
