File Name,REC. TIME,EVENT#,CALL TYPE,LOCATION,& Pd Zone:,Pd Grid:,Validation Link
10402 N 56th.pdf,06:17,2023013374,S49B-Alarm Business,10402 N 56th St.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=0&page=4
10402 N 56th.pdf,08:40,2023013676,RA-Risk Assessment,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=1&page=4
10402 N 56th.pdf,17:13,2023014531,S68-Police Service C,10402 N 56th St.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=2&page=4
10402 N 56th.pdf,14:04,2023014756,1006-Busy,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=3&page=4
10402 N 56th.pdf,05:57,2023015083,S49B-Alarm Business,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=4&page=4
10402 N 56th.pdf,17:50,2023016037,S22-Disturbance,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=5&page=4
10402 N 56th.pdf,17:55,2023016038,S13P-Suspicious Pers,10402 N 56th St.,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=6&page=4
10402 N 56th.pdf,08:35,2023016578,FP-Foot Patrol,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=7&page=4
10402 N 56th.pdf,07:30,2023017244,STER-Traffic Enforce,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=8&page=4
10402 N 56th.pdf,07:29,2023017501,STER-Traffic Enforce,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=9&page=4
10402 N 56th.pdf,15:02,2023017588,FP-Foot Patrol,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=10&page=4
10402 N 56th.pdf,00:20,2023017652,K9-T-K9-Training,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=11&page=4
10402 N 56th.pdf,07:23,2023017695,S68-Police Service C,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8013&row=12&page=4
