file_name,role,synopsis,location,event_file_type,report_file_number,date,synopsis_appended,group,synopsis_append,location_alt,school_name,school_number,synopsis_category
10101_CROSS_CREEK_BLVD_Redacted.pdf,,INFORMATION- SCHOOL THREAT,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-167170,Apr-21-2023,INFORMATION- SCHOOL THREAT,singles,INFORMATION- SCHOOL THREAT,10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,other
10101_CROSS_CREEK_BLVD_Redacted.pdf,,TRESPASS WARNING ONLY,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-150573,Apr-10-2023,TRESPASS WARNING ONLY,singles,TRESPASS WARNING ONLY,10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,other
10101_CROSS_CREEK_BLVD_Redacted.pdf,,ASSIST O/J - ALL OTHER,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-132284,Mar-29-2023,ASSIST O/J - ALL OTHER,singles,ASSIST O/J - ALL OTHER,10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,other
10101_CROSS_CREEK_BLVD_Redacted.pdf,,AUTO BURGLARY (THEFT FROM MOTOR VEHICLE),"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-110352,Mar-15-2023,AUTO BURGLARY (THEFT FROM MOTOR VEHICLE),singles,AUTO BURGLARY (THEFT FROM MOTOR VEHICLE),10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,theft
10101_CROSS_CREEK_BLVD_Redacted.pdf,,INFORMATION- SCHOOL THREAT,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-64458,Feb-14-2023,INFORMATION- SCHOOL THREAT,singles,INFORMATION- SCHOOL THREAT,10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,other
10101_CROSS_CREEK_BLVD_Redacted.pdf,,BATTERY - SIMPLE,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-64021,Feb-13-2023,BATTERY - SIMPLE,singles,BATTERY - SIMPLE,10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,violence
10101_CROSS_CREEK_BLVD_Redacted.pdf,,BAKER ACT,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-28908,Jan-20-2023,BAKER ACT,singles,BAKER ACT,10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,mental health
10101_CROSS_CREEK_BLVD_Redacted.pdf,,POSSESS WEAPON SCHOOL PROPERTY,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-28655,Jan-20-2023,POSSESS WEAPON SCHOOL PROPERTY,singles,POSSESS WEAPON SCHOOL PROPERTY,10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,weapon
10101_CROSS_CREEK_BLVD_Redacted.pdf,,BATTERY ON OFFICIAL EMPLOYEE,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2022-483539,Dec-06-2022,BATTERY ON OFFICIAL EMPLOYEE,singles,BATTERY ON OFFICIAL EMPLOYEE,10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,violence
10101_CROSS_CREEK_BLVD_Redacted.pdf,,JUVENILE CITATION-PETIT THEFT,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2022-449327,Nov-09-2022,JUVENILE CITATION-PETIT THEFT,singles,JUVENILE CITATION-PETIT THEFT,10101 CROSS CREEK BLVD .pdf,Benito Middle School (0201),0201,theft
