file_name,school_name,school_number
10101_CROSS_CREEK_BLVD_Redacted.pdf,Benito Middle School (0201),(0201)
10201_N_BOULEVARD_Redacted.pdf,Adams Middle School (0041),(0041)
1029_E_Twiggs_St_Redacted.pdf,Channelside Academy Of Math And Science (6652),(6652)
10948_N_CENTRAL_AVE_Redacted.pdf,Brooks Debartolo Collegiate High School (6634),(6634)
1101_Ray_Charles_Blvd_Redacted.pdf,Encore (6531),(6531)
1125_spruce.pdf,Stewart Middle Magnet School (0284),(0284)
1510_n_manhattan.pdf,Roland Park K-8 Magnet School (3802),(3802)
1701_N_BOULEVARD_Redacted.pdf,Blake High School,0281
1724_S_Manhattan_Ave_Redacted.pdf,Coleman Middle School (0921),(0921)
17400_Commerce_Park_Blvd._Tampa__FL_33647.pdf,Liberty Middle School (2471),(2471)
17410_Commerce_Park_Blvd.pdf,Freedom High School (1541),(1541)
2011_e_sligh.pdf,Sligh Middle School (1482),(1482)
2402_W_OSBORNE_AVE.pdf,Trinity School For Children (6624),(6624)
2418_W_SWANN_AVE.pdf,Bridgeprep Academy Of Tampa (7675),(7675)
302_E_Linebaugh_Ave_Redacted.pdf,Legacy Preparatory Academy (6621),(6621)
3915_E._21st_Ave.pdf,Franklin Middle Magnet School (1542),(1542)
3930_W_Dr_MLK_Jr_Blvd_Redacted.pdf,Les Peters Academy (5048),(5048)
4006_florida.pdf,Seminole Heights Charter High School (6646),(6646)
4302_N._24th_St.pdf,Ferrell Middle Magnet School (3001),(3001)
4401_W_Cypress_St_Redacted.pdf,Jefferson High School,3784
4410_W_Main_St_Redacted.pdf,Lavoy Exceptional Center (3782),(3782)
4444_W_Bay_Vista_Ave._Tampa__FL_33611.pdf,Madison Middle School (2651),(2651)
4702_N_Central_Ave._Tampa__FL_33603.pdf,Memorial Middle School (2882),(2882)
4716_W_Montgomery_Ave._Tampa__FL_33616.pdf,Monroe Middle Magnet School (2362),(2362)
4801_N_22nd_St._Tampa__FL_33610.pdf,Middleton High School,3004
4817_N_FLORIDA_AVE.pdf,Walton Academy (6623),(6623)
5000_N_Central_Ave_Redacted.pdf,Hillsborough High School,1881
5020_N_47TH_ST_Redacted.pdf,Williams Middle Magnet School (4741),(4741)
8412_13th.pdf,Sulphur Springs K-8 School (4201),(4201)
8715_N_22nd_St_Redacted.pdf,Dr Carter G Woodson K-8 School (0682),(0682)
9401_N_Boulevard_Redacted.pdf,Chamberlain High School,0761
OG_3415_N_16TH_ST.pdf,Orange Grove Middle Magnet School (3241),(3241)
PA_3916_E_HILLSBOROUGH_AVE.pdf,Pepin Academies (6609),(6609)
PH-2415_S_HIMES_AVE.pdf,Plant High School (3411),(3411)
R-6311_S_LOIS_AVE.pdf,Robinson High School (3731),(3731)
R-802_E_WASHINGTON_ST.pdf,Rampello K-8 Magnet School (4251),(4251)
Wilson_Middle_Redacted.pdf,Wilson Middle School (4761),(4761)
Young_Middle.pdf,Young Middle Magnet School (5041),(5041)
