school_number,school_name,type,grade,child_poverty_rate,share_ready_for_kindergarten,share_that_leave,share_tenure_le3yr,percent_of_students_absent_21_or_more_days,total_hours_taught_by_sub
0051,SHEEHY ELEMENTARY SCHOOL,Elementary,F,0.389654699884055,0.2,0.45420000000000005,0.2,0.2681159420289856,2565.03
0051,SHEEHY ELEMENTARY SCHOOL,Elementary,F,0.389654699884055,0.2,0.38939999999999997,0.2,0.2681159420289856,2565.03
0120,KIMBELL ELEMENTARY SCHOOL,Elementary,D,0.357300750139364,0.230769230769231,0.4756,0.4230769230769231,0.21633554083885204,4488.01
0128,LAMB ELEMENTARY,Elementary,D,0.256363486671571,0.342465753424658,0.5712999999999999,0.45161290322580644,0.2678331090174966,3869.87
0282,JUST ELEMENTARY SCHOOL,Elementary,F,0.263363742531318,0.351851851851852,NA,0.17647058823529413,0.36944444444444446,2476.06
0441,BROWARD ELEMENTARY SCHOOL,Elementary,D,0.241112775760171,0.361111111111111,0.4851,0.037037037037037035,0.18248175182481763,1710.8
0641,BURNEY ELEMENTARY SCHOOL,Elementary,D,0.38632056743338,0.240740740740741,0.3728,0.2222222222222222,0.2102689486552568,2391.17
0962,LOCKHART ELEMENTARY MAGNET SCHOOL,Elementary,D,NA,0.630434782608696,NA,0.23076923076923078,0.1794258373205742,2682.05
1361,EDISON ELEMENTARY SCHOOL,Elementary,D,0.356219137278865,0.41025641025641,0.4164,0.38235294117647056,0.2043010752688172,2855.36
1481,FOSTER ELEMENTARY SCHOOL,Elementary,D,0.314350919123402,0.227272727272727,0.4424,0.39473684210526316,0.23421588594704684,4687.83
1761,GRAHAM ELEMENTARY SCHOOL,Elementary,D,0.375338623861619,0.333333333333333,0.6464,0.18518518518518517,0.30132450331125826,1601.1
1951,IPPOLITO ELEMENTARY SCHOOL,Elementary,D,0.285624078347581,0.432098765432099,0.5952999999999999,0.4473684210526316,0.2812030075187969,5087.89
2041,JACKSON ELEMENTARY SCHOOL,Elementary,D,0.242960916587618,0.2375,0.46230000000000004,0.2682926829268293,0.19896193771626297,2062.38
2201,KENLY ELEMENTARY SCHOOL,Elementary,D,0.165176235068515,0.184615384615385,0.3953,0.3,0.3,2946.19
2261,KINGSWOOD ELEMENTARY SCHOOL,Elementary,D,0.159056504050696,0.307692307692308,0.4454,0.06451612903225806,0.20035778175313057,3400.08
2721,MANGO ELEMENTARY SCHOOL,Elementary,D,0.273806290850569,0.375,0.37549999999999994,0.3076923076923077,0.28103837471783294,4783.27
3041,MILES ELEMENTARY SCHOOL,Elementary,D,0.348585128920869,0.195652173913043,0.3779,0.2,0.28781038374717827,2930.91
3201,OAK PARK ELEMENTARY SCHOOL,Elementary,D,0.470740865282345,0.291666666666667,0.45420000000000005,0.21875,0.3100436681222706,1982.14
3281,PALM RIVER ELEMENTARY SCHOOL,Elementary,D,0.218896139383966,0.26,0.31779999999999997,0.4411764705882353,0.29375,2645.25
3521,POTTER ELEMENTARY SCHOOL,Elementary,F,0.421067499126236,0.431034482758621,0.5138,0.17647058823529413,0.2816,2150.2
3761,ROBLES ELEMENTARY SCHOOL,Elementary,D,0.148208234371766,0.277777777777778,0.518,0.3076923076923077,0.375,5526.2
3841,RUSKIN ELEMENTARY SCHOOL,Elementary,D,0.317616207415393,0.155172413793103,0.40180000000000005,0.2653061224489796,0.27193932827735656,3997.58
3951,SHAW ELEMENTARY SCHOOL,Elementary,F,0.61760987865035,0.186046511627907,0.2559,0.2549019607843137,0.28588957055214725,4364.63
4561,TWIN LAKES ELEMENTARY SCHOOL,Elementary,D,0.190615425270829,0.285714285714286,0.27849999999999997,0.425,0.2253313696612665,3764.35
4747,JAMES ELEMENTARY SCHOOL,Elementary,D,0.328498530569642,0.28,0.5131,0.2962962962962963,0.4203187250996016,4501
4841,WIMAUMA ELEMENTARY SCHOOL,Elementary,D,0.332432190373404,0.4,0.2761,0.15217391304347827,0.21904761904761905,3138.56
4921,WITTER ELEMENTARY SCHOOL,Elementary,D,0.388844655982072,0.245283018867925,0.34199999999999997,0.35,0.2316118935837246,4249.81
4961,YATES ELEMENTARY SCHOOL,Elementary,D,0.196293498426802,0.440860215053763,0.3692,0.3673469387755102,0.25214198286413714,3513.2
0041,ADAMS MIDDLE SCHOOL,Middle,D,0.274350058139492,NA,0.5497000000000001,0.39473684210526316,0.3178973717146433,7904.07
0055,SHIELDS MIDDLE SCHOOL,Middle,D,0.273483699145114,NA,0.40159999999999996,0.44680851063829785,0.27973273942093546,12752.53
1324,EISENHOWER MIDDLE SCHOOL,Middle,D,0.0774505439707592,NA,0.5869,0.515625,0.32131358660656795,6124.73
1482,SLIGH MIDDLE SCHOOL,Middle,D,0.286483729775617,NA,0.4638,0.4166666666666667,0.28493150684931506,3018.5099999999998
2362,MONROE MIDDLE MAGNET SCHOOL,Middle,D,0.192575382793177,NA,0.43689999999999996,0.3333333333333333,0.291746641074856,2409.23
4201,SULPHUR SPRINGS K-8 SCHOOL,Combination,D,NA,0.161290322580645,0.403,0.14285714285714285,0.31185567010309273,3153.45
