District Number,District Name,School Number,Virtual Provider Number,School Name,English Language Arts Achievement,Mathematics Achievement,Science Achievement,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Informational Baseline Grade 2023,Grade 2022,Grade 2021,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Was the collocated rule used?,Collocated Number,Charter School,Title I,Alternative/ESE Center School,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students,Social Studies Achievement,Middle School Acceleration,Graduation Rate 2021-22,College and Career Acceleration 2021-22
01,ALACHUA,0031,NA,CAROLYN BEATRICE PARKER ELEMENTARY,59,53,62,174,3,58,100,B,C,NA,B,C,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,N,NA,NO,YES,N,01,61.7,65.7,NA,NA,NA,NA
01,ALACHUA,0041,NA,STEPHEN FOSTER ELEMENTARY SCHOOL,47,42,44,133,3,44,100,C,C,NA,B,C,B,C,A,A,B,A,A,A,A,A,A,A,A,A,A,C,C,A,C,N,NA,NO,YES,N,01,70.7,100,NA,NA,NA,NA
01,ALACHUA,0071,NA,LAKE FOREST ELEMENTARY SCHOOL,30,31,24,85,3,28,100,D,F,NA,D,D,C,F,F,F,F,F,D,C,C,B,C,C,C,B,C,C,C,C,D,N,NA,NO,YES,N,01,89.7,100,NA,NA,NA,NA
01,ALACHUA,0091,NA,LITTLEWOOD ELEMENTARY SCHOOL,63,60,59,182,3,61,100,B,B,NA,B,B,C,B,B,B,A,A,A,A,A,A,A,C,B,B,A,A,B,B,B,N,NA,NO,YES,N,01,59.3,79.9,NA,NA,NA,NA
01,ALACHUA,0101,NA,W. A. METCALFE ELEMENTARY SCHOOL,22,17,21,60,3,20,100,F,D,NA,B,D,D,C,D,C,D,F,D,C,C,A,F,C,D,C,B,D,D,C,D,N,NA,NO,YES,N,01,92.9,100,NA,NA,NA,NA
01,ALACHUA,0111,NA,JOSEPH WILLIAMS ELEMENTARY SCHOOL,48,46,52,146,3,49,99,C,C,NA,D,C,C,B,C,C,D,C,C,C,A,C,A,A,C,B,C,C,D,D,D,N,NA,NO,YES,N,01,91.9,100,NA,NA,NA,NA
01,ALACHUA,0161,NA,ALACHUA ELEMENTARY SCHOOL,38,35,39,112,3,37,98,C,D,NA,C,D,C,C,C,D,C,D,C,B,A,B,A,C,C,A,B,B,C,C,C,N,NA,NO,YES,N,01,61,100,NA,NA,NA,NA
01,ALACHUA,0171,NA,ARCHER ELEMENTARY,54,58,60,172,3,57,99,B,C,NA,C,B,B,B,A,B,B,A,A,B,A,C,A,A,B,B,B,C,B,C,D,N,NA,NO,YES,N,01,45.3,94.3,NA,NA,NA,NA
01,ALACHUA,0281,NA,CHESTER SHELL ELEMENTARY SCHOOL,32,25,30,87,3,29,99,D,D,NA,C,C,B,D,C,F,F,D,C,D,B,D,B,C,B,A,B,C,C,C,D,N,NA,NO,YES,N,01,49.6,100,NA,NA,NA,NA
01,ALACHUA,0311,NA,MYRA TERWILLIGER ELEMENTARY SCHOOL,30,37,41,108,3,36,99,C,D,NA,C,D,D,D,C,C,B,A,A,C,A,C,A,C,D,B,B,A,C,A,C,N,NA,NO,YES,N,01,82.4,100,NA,NA,NA,NA
01,ALACHUA,0321,NA,IDYLWILD ELEMENTARY SCHOOL,33,35,40,108,3,36,99,C,D,NA,D,D,C,D,C,C,C,B,D,B,A,C,C,B,A,B,B,C,C,A,D,N,NA,NO,YES,N,01,83.3,100,NA,NA,NA,NA
01,ALACHUA,0331,NA,GLEN SPRINGS ELEMENTARY SCHOOL,63,55,58,176,3,59,99,B,B,NA,C,C,C,C,B,C,B,B,A,B,A,B,A,B,A,A,A,A,A,A,C,N,NA,NO,YES,N,01,50.5,76.1,NA,NA,NA,NA
01,ALACHUA,0341,NA,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,20,28,27,75,3,25,98,D,D,NA,C,D,C,D,F,F,D,C,D,D,F,C,D,D,D,D,C,C,D,C,D,N,NA,NO,YES,N,01,95.8,100,NA,NA,NA,NA
01,ALACHUA,0482,NA,HIDDEN OAK ELEMENTARY SCHOOL,68,73,78,219,3,73,99,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,N,NA,NO,NO,N,01,51.6,36.4,NA,NA,NA,NA
01,ALACHUA,0501,NA,KIMBALL WILES ELEMENTARY SCHOOL,66,71,74,211,3,70,99,A,B,NA,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,N,NA,NO,YES,N,01,57.1,49,NA,NA,NA,NA
01,ALACHUA,0510,NA,LAWTON M. CHILES ELEMENTARY SCHOOL,70,75,63,208,3,69,98,A,B,NA,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,B,N,NA,N,NA,NO,NO,N,01,53.9,34.1,NA,NA,NA,NA
01,ALACHUA,0520,NA,MEADOWBROOK ELEMENTARY SCHOOL,64,74,69,207,3,69,98,A,B,NA,A,A,A,C,A,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NO,NO,N,01,48.2,35.6,NA,NA,NA,NA
01,ALACHUA,0531,NA,NEWBERRY ELEMENTARY SCHOOL,47,50,NA,97,2,49,100,C,B,NA,C,C,B,A,B,A,A,B,A,A,A,B,B,A,A,A,B,C,C,B,C,N,NA,NO,YES,N,01,46.7,71.6,NA,NA,NA,NA
01,ALACHUA,0541,NA,C. W. NORTON ELEMENTARY SCHOOL,47,43,41,131,3,44,99,C,C,NA,B,B,B,B,B,D,C,C,B,B,A,A,A,A,A,A,A,A,B,A,A,N,NA,NO,YES,N,01,56.9,84.8,NA,NA,NA,NA
01,ALACHUA,0561,NA,WILLIAM S. TALBOT ELEM SCHOOL,59,64,52,175,3,58,100,B,A,NA,B,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,NA,NO,NO,N,01,46.1,39.80000000000001,NA,NA,NA,NA
01,ALACHUA,0950,NA,THE ONE ROOM SCHOOL HOUSE PROJECT,49,60,71,180,3,60,99,B,A,B,B,C,C,B,C,F,NA,B,A,A,NA,C,NA,B,A,NA,NA,NA,NA,NA,NA,N,NA,YES,YES,N,01,76.8,100,NA,NA,NA,NA
01,ALACHUA,0951,NA,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",57,62,63,182,3,61,98,B,C,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,N,NA,NA,NA,NA,N,NA,YES,NO,N,01,14.7,35.8,NA,NA,NA,NA
01,ALACHUA,0953,NA,CARING & SHARING LEARNING SCHOOL,55,70,34,159,3,53,99,B,A,NA,D,B,A,B,C,C,B,F,NA,NA,NA,NA,P,D,F,D,NA,NA,NA,NA,NA,N,NA,YES,YES,N,01,98.8,100,NA,NA,NA,NA
01,ALACHUA,0956,NA,EXPRESSIONS LEARNING ARTS ACADEMY,85,74,83,242,3,81,100,A,A,A,A,A,A,A,A,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,YES,NO,N,01,51.2,38.80000000000001,NA,NA,NA,NA
01,ALACHUA,0957,NA,ALACHUA LEARNING ACADEMY ELEMENTARY,88,91,90,269,3,90,100,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,N,NA,NA,NA,N,NA,YES,YES,N,01,35.2,36.4,NA,NA,NA,NA
01,ALACHUA,0981,NA,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,67,67,75,209,3,70,100,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,YES,NO,N,01,25.2,17.599999999999994,NA,NA,NA,NA
01,ALACHUA,1012,NA,BOULWARE SPRINGS CHARTER,65,81,55,201,3,67,100,A,B,A,A,B,A,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,YES,YES,N,01,73.4,95.5,NA,NA,NA,NA
