district_number,district_name,school_number,virtual_provider_number,english_language_arts_achievement,mathematics_achievement,science_achievement,total_points_earned,total_components,percent_of_total_possible_points,percent_tested,informational_baseline_grade_2023,grade_2022,grade_2021,grade_2019,grade_2018,grade_2017,grade_2016,informational_baseline_grade_2015,grade_2014,grade_2013,grade_2012,grade_2011,grade_2010,grade_2009,grade_2008,grade_2007,grade_2006,grade_2005,grade_2004,grade_2003,grade_2002,grade_2001,grade_2000,grade_1999,was_the_collocated_rule_used,collocated_number,charter_school,title_i,alternative_ese_center_school,school_type,percent_of_minority_students,percent_of_economically_disadvantaged_students,type,social_studies_achievement,middle_school_acceleration,graduation_rate_2021_22,college_and_career_acceleration_2021_22,school_name,number_of_students,ela_level1_num,ela_level2_num,ela_level3_num,ela_level4_num,ela_level5_num,ela_level1,ela_level2,ela_level3,ela_level4,ela_level5,number_of_students_math,math_level1_num,math_level2_num,math_level3_num,math_level4_num,math_level5_num,math_level1,math_level2,math_level3,math_level4,math_level5
01,ALACHUA,0031,NA,59,53,62,174,3,58,100,B,C,NA,B,C,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,N,NA,NO,YES,N,01,61.7,65.7,Elementary,NA,NA,NA,NA,CAROLYN BEATRICE PARKER ELEMENTARY,272,92,46,49,53,33,0.3382352941176471,0.16911764705882354,0.1801470588235294,0.1948529411764706,0.1213235294117647,272,86,57,50,40,39,0.3161764705882353,0.20955882352941177,0.18382352941176472,0.14705882352941177,0.14338235294117646
01,ALACHUA,0041,NA,47,42,44,133,3,44,100,C,C,NA,B,C,B,C,A,A,B,A,A,A,A,A,A,A,A,A,A,C,C,A,C,N,NA,NO,YES,N,01,70.7,100,Elementary,NA,NA,NA,NA,STEPHEN FOSTER ELEMENTARY SCHL,258,88,45,44,51,30,0.34108527131782945,0.1744186046511628,0.17054263565891473,0.19767441860465115,0.11627906976744186,258,105,42,40,34,38,0.4069767441860465,0.16279069767441862,0.15503875968992248,0.13178294573643412,0.14728682170542637
01,ALACHUA,0071,NA,30,31,24,85,3,28,100,D,F,NA,D,D,C,F,F,F,F,F,D,C,C,B,C,C,C,B,C,C,C,C,D,N,NA,NO,YES,N,01,89.7,100,Elementary,NA,NA,NA,NA,LAKE FOREST ELEMENTARY SCHOOL,150,67,46,25,12,1,0.44666666666666666,0.30666666666666664,0.16666666666666666,0.08,0.006666666666666667,151,79,27,29,12,3,0.5231788079470199,0.17880794701986755,0.19205298013245034,0.07947019867549669,0.019867549668874173
01,ALACHUA,0091,NA,63,60,59,182,3,61,100,B,B,NA,B,B,C,B,B,B,A,A,A,A,A,A,A,C,B,B,A,A,B,B,B,N,NA,NO,YES,N,01,59.3,79.9,Elementary,NA,NA,NA,NA,LITTLEWOOD ELEMENTARY SCHOOL,326,73,51,69,72,61,0.22392638036809817,0.15644171779141106,0.2116564417177914,0.22085889570552147,0.18711656441717792,325,69,51,67,71,65,0.2123076923076923,0.15692307692307692,0.20615384615384616,0.21846153846153846,0.2
01,ALACHUA,0101,NA,22,17,21,60,3,20,100,F,D,NA,B,D,D,C,D,C,D,F,D,C,C,A,F,C,D,C,B,D,D,C,D,N,NA,NO,YES,N,01,92.9,100,Elementary,NA,NA,NA,NA,W. A. METCALFE ELEMENTARY SCHOOL,205,102,50,37,14,1,0.4975609756097561,0.24390243902439024,0.18048780487804877,0.06829268292682927,0.004878048780487805,204,120,46,27,9,3,0.5882352941176471,0.22549019607843138,0.1323529411764706,0.04411764705882353,0.014705882352941176
01,ALACHUA,0111,NA,48,46,52,146,3,49,99,C,C,NA,D,C,C,B,C,C,D,C,C,C,A,C,A,A,C,B,C,C,D,D,D,N,NA,NO,YES,N,01,91.9,100,Elementary,NA,NA,NA,NA,JOSEPH WILLIAMS ELEM. SCHOOL,270,98,46,37,36,53,0.362962962962963,0.17037037037037037,0.13703703703703704,0.13333333333333333,0.1962962962962963,270,119,28,27,24,71,0.44074074074074077,0.1037037037037037,0.1,0.08888888888888889,0.26296296296296295
01,ALACHUA,0161,NA,38,35,39,112,3,37,98,C,D,NA,C,D,C,C,C,D,C,D,C,B,A,B,A,C,C,A,B,B,C,C,C,N,NA,NO,YES,N,01,61,100,Elementary,NA,NA,NA,NA,ALACHUA ELEMENTARY SCHOOL,316,100,94,62,41,20,0.31645569620253167,0.2974683544303797,0.1962025316455696,0.12974683544303797,0.06329113924050633,317,128,62,69,40,16,0.4037854889589905,0.19558359621451105,0.21766561514195584,0.12618296529968454,0.050473186119873815
01,ALACHUA,0171,NA,54,58,60,172,3,57,99,B,C,NA,C,B,B,B,A,B,B,A,A,B,A,C,A,A,B,B,B,C,B,C,D,N,NA,NO,YES,N,01,45.3,94.3,Elementary,NA,NA,NA,NA,ARCHER ELEMENTARY,257,63,51,56,54,32,0.245136186770428,0.19844357976653695,0.2178988326848249,0.21011673151750973,0.1245136186770428,257,54,47,49,64,43,0.21011673151750973,0.1828793774319066,0.19066147859922178,0.2490272373540856,0.16731517509727625
01,ALACHUA,0281,NA,32,25,30,87,3,29,99,D,D,NA,C,C,B,D,C,F,F,D,C,D,B,D,B,C,B,A,B,C,C,C,D,N,NA,NO,YES,N,01,49.6,100,Elementary,NA,NA,NA,NA,CHESTER SHELL ELEMENTARY SCHL,182,72,43,34,24,8,0.3956043956043956,0.23626373626373626,0.18681318681318682,0.13186813186813187,0.04395604395604396,181,96,34,35,13,3,0.5303867403314917,0.1878453038674033,0.19337016574585636,0.0718232044198895,0.016574585635359115
01,ALACHUA,0311,NA,30,37,41,108,3,36,99,C,D,NA,C,D,D,D,C,C,B,A,A,C,A,C,A,C,D,B,B,A,C,A,C,N,NA,NO,YES,N,01,82.4,100,Elementary,NA,NA,NA,NA,MYRA TERWILLIGER ELEM. SCHOOL,249,109,68,45,20,9,0.43775100401606426,0.27309236947791166,0.18072289156626506,0.08032128514056225,0.03614457831325301,250,110,54,48,23,15,0.44,0.216,0.192,0.092,0.06
01,ALACHUA,0321,NA,33,35,40,108,3,36,99,C,D,NA,D,D,C,D,C,C,C,B,D,B,A,C,C,B,A,B,B,C,C,A,D,N,NA,NO,YES,N,01,83.3,100,Elementary,NA,NA,NA,NA,IDYLWILD ELEMENTARY SCHOOL,247,93,66,46,29,13,0.3765182186234818,0.26720647773279355,0.1862348178137652,0.11740890688259109,0.05263157894736842,247,110,48,51,28,10,0.44534412955465585,0.19433198380566802,0.20647773279352227,0.11336032388663968,0.04048582995951417
01,ALACHUA,0331,NA,63,55,58,176,3,59,99,B,B,NA,C,C,C,C,B,C,B,B,A,B,A,B,A,B,A,A,A,A,A,A,C,N,NA,NO,YES,N,01,50.5,76.1,Elementary,NA,NA,NA,NA,GLEN SPRINGS ELEMENTARY SCHOOL,211,40,41,55,54,22,0.1895734597156398,0.1943127962085308,0.26066350710900477,0.2559241706161137,0.10426540284360189,210,58,31,61,42,18,0.2761904761904762,0.14761904761904762,0.2904761904761905,0.2,0.08571428571428572
01,ALACHUA,0341,NA,20,28,27,75,3,25,98,D,D,NA,C,D,C,D,F,F,D,C,D,D,F,C,D,D,D,D,C,C,D,C,D,N,NA,NO,YES,N,01,95.8,100,Elementary,NA,NA,NA,NA,MARJORIE KINNAN RAWLINGS ELEM,203,115,45,28,14,2,0.5665024630541872,0.22167487684729065,0.13793103448275862,0.06896551724137931,0.009852216748768473,203,107,43,28,21,4,0.5270935960591133,0.21182266009852216,0.13793103448275862,0.10344827586206896,0.019704433497536946
01,ALACHUA,0482,NA,68,73,78,219,3,73,99,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,N,NA,NO,NO,N,01,51.6,36.4,Elementary,NA,NA,NA,NA,HIDDEN OAK ELEMENTARY SCHOOL,378,59,59,106,93,63,0.15608465608465608,0.15608465608465608,0.2804232804232804,0.24603174603174602,0.16666666666666666,376,60,48,85,82,102,0.1595744680851064,0.1276595744680851,0.22606382978723405,0.21808510638297873,0.2712765957446808
01,ALACHUA,0501,NA,66,71,74,211,3,70,99,A,B,NA,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,N,NA,NO,YES,N,01,57.1,49,Elementary,NA,NA,NA,NA,KIMBALL WILES ELEM. SCHOOL,425,71,85,79,113,77,0.16705882352941176,0.2,0.18588235294117647,0.26588235294117646,0.1811764705882353,424,79,51,94,110,91,0.18632075471698112,0.12028301886792453,0.22169811320754718,0.25943396226415094,0.21462264150943397
01,ALACHUA,0510,NA,70,75,63,208,3,69,98,A,B,NA,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,B,N,NA,N,NA,NO,NO,N,01,53.9,34.1,Elementary,NA,NA,NA,NA,LAWTON M. CHILES ELEM. SCHOOL,346,38,60,83,86,79,0.10982658959537572,0.17341040462427745,0.2398843930635838,0.24855491329479767,0.22832369942196531,345,58,25,74,88,100,0.1681159420289855,0.07246376811594203,0.2144927536231884,0.25507246376811593,0.2898550724637681
01,ALACHUA,0520,NA,64,74,69,207,3,69,98,A,B,NA,A,A,A,C,A,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NO,NO,N,01,48.2,35.6,Elementary,NA,NA,NA,NA,MEADOWBROOK ELEMENTARY SCHOOL,444,89,83,87,109,77,0.20045045045045046,0.18693693693693694,0.19594594594594594,0.24549549549549549,0.17342342342342343,445,74,46,105,116,103,0.1662921348314607,0.10337078651685393,0.23595505617977527,0.2606741573033708,0.23146067415730337
01,ALACHUA,0531,NA,47,50,NA,97,2,49,100,C,B,NA,C,C,B,A,B,A,A,B,A,A,A,B,B,A,A,A,B,C,C,B,C,N,NA,NO,YES,N,01,46.7,71.6,Elementary,NA,NA,NA,NA,NEWBERRY ELEMENTARY SCHOOL,273,89,50,66,48,20,0.326007326007326,0.18315018315018314,0.24175824175824176,0.17582417582417584,0.07326007326007326,273,86,49,60,62,16,0.315018315018315,0.1794871794871795,0.21978021978021978,0.2271062271062271,0.05860805860805861
01,ALACHUA,0541,NA,47,43,41,131,3,44,99,C,C,NA,B,B,B,B,B,D,C,C,B,B,A,A,A,A,A,A,A,A,B,A,A,N,NA,NO,YES,N,01,56.9,84.8,Elementary,NA,NA,NA,NA,C. W. NORTON ELEMENTARY SCHOOL,274,78,61,64,49,23,0.2846715328467153,0.22262773722627738,0.23357664233576642,0.17883211678832117,0.08394160583941605,270,97,53,58,37,28,0.3592592592592593,0.1962962962962963,0.21481481481481482,0.13703703703703704,0.1037037037037037
01,ALACHUA,0561,NA,59,64,52,175,3,58,100,B,A,NA,B,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,NA,NO,NO,N,01,46.1,39.80000000000001,Elementary,NA,NA,NA,NA,WILLIAM S. TALBOT ELEM SCHOOL,286,47,60,70,71,38,0.16433566433566432,0.2097902097902098,0.24475524475524477,0.24825174825174826,0.13286713286713286,286,49,43,69,62,63,0.17132867132867133,0.15034965034965034,0.24125874125874125,0.21678321678321677,0.2202797202797203
01,ALACHUA,0950,NA,49,60,71,180,3,60,99,B,A,B,B,C,C,B,C,F,NA,B,A,A,NA,C,NA,B,A,NA,NA,NA,NA,NA,NA,N,NA,YES,YES,N,01,76.8,100,Elementary,NA,NA,NA,NA,THE ONE ROOM SCHOOL HOUSE PROJECT,68,19,15,18,9,7,0.27941176470588236,0.22058823529411764,0.2647058823529412,0.1323529411764706,0.10294117647058823,68,10,17,18,16,7,0.14705882352941177,0.25,0.2647058823529412,0.23529411764705882,0.10294117647058823
01,ALACHUA,0951,NA,57,62,63,182,3,61,98,B,C,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,N,NA,NA,NA,NA,N,NA,YES,NO,N,01,14.7,35.8,Elementary,NA,NA,NA,NA,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",107,19,24,27,22,15,0.17757009345794392,0.22429906542056074,0.2523364485981308,0.205607476635514,0.14018691588785046,107,21,18,27,25,16,0.19626168224299065,0.16822429906542055,0.2523364485981308,0.2336448598130841,0.14953271028037382
