description
Superintendent
"Chief of Schools, Admin"
"Supt, Area"
Director
"Chief Officer, Govt Relations"
Admin On Spec Assignment
"Chief Officer, Business"
Deputy Superintendent
Chief Operating Officer
"Chief Officer, Diversity"
"Asst Supt, Std Fed Prog"
"Asst Supt, Ed Lead & Prof Dev"
"Chief Officer, Academic"
"Chief Officer, Human Resources"
"Officer, Sr Exec Prof Standard"
"General Director, Inst Ldrship"
Deputy Director
"Gen Mgr, Student NutrSvcs"
"Officer, Workforce Connections"
"Gen Mgr, Emp Relations"
"Gen Mgr, Strategy Management"
"Director, General"
"Director, General Adv Acadmcs"
"Officer, Executive, HR Cmplnce"
"Gen Mgr, IT"
"Gen Mgr, Grwth Mgt Pln Siting"
"Gen Mgr, Maintenance"
"Gen Mgr, Transportation"
"Principal, High"
"Principal, Mid"
"Officer, Communication & Media"
"Gen Mgr, Budget/Fed Finance"
"Gen Mgr, EmpBenefits Insurance"
"Chief, Security & Emrgncy Mgmt"
"Mgr, Legislative Services"
"Principal, Elementary"
"Gen Mgr, Personnel Services"
"Mgr, Services, Support"
"Director, Training Staff Dev"
"General Director, Charter Schl"
"Gen Mgr, Payroll"
"Director, General ESE"
"Gen Mgr, Procurement"
"Principal, Adult-Tech"
"Mgr, Instr Prog Support"
"Mgr, IT Business Solutions"
"Mgr, Personnel Services"
"Principal, ESE Center"
"Principal, Career Center"
"Partner, Human Resources"
Supv Social Studies
Supervisor
Supv School Health Svc
Supv Gifted
"Analyst, Systems, Proc"
Supv ESE
Supv Music
Supv English
"Director, Assistant"
Supv Headstart
Supv Elem Generalist
Supv Elem Reading
"Mgr, Strategic Data and Eval"
"Mgr, District Accounting"
Supv LEP Students
Supv School Readiness
Supv Physical Education Health
"Dept Mgr, Techngy Support"
Supv Mathematics
"Dept Mgr, Sites and Utilities"
Supv After School Prog
Supv EC Kindergarten
Supv Ed Materials Svc
Supv ESE Curriculum
"Administrator,Sr Project"
"Mgr, Planning and Related Srvc"
"Dept Mgr, Strategic Planning"
"Capt, Security & Emergcy Mgt"
"Mgr, IT WebApp/DataAnalytics"
"Mgr, Auditing Services"
"Mgr, IT Infrstrctr/Shrd Srvces"
Supv Guidance
"Mgr, Customer Service"
"Mgr, FTE Unit Compliance"
"Administrator, Comm School"
Supv Aut Spectrum Disorder
Accountant 4
"Analyst, Sr Systems"
"Mgr, Data Quality & Governance"
"Mgr, Accounting Services"
"Mgr, Planning and Siting"
Coordinator
"Spec, Technology"
Supv Secondary Generalist
Supv FDLRS
"Asst Principal 2, High"
"Dept Mgr, Stdnt PlcmntData Mgt"
