description,instructional,principal
Superintendent,FALSE,
"Chief of Schools, Admin",FALSE,
"Supt, Area",FALSE,
Director,FALSE,
"Chief Officer, Govt Relations",FALSE,
Admin On Spec Assignment,FALSE,
"Chief Officer, Business",FALSE,
Deputy Superintendent,FALSE,
Chief Operating Officer,FALSE,
"Chief Officer, Diversity",FALSE,
"Asst Supt, Std Fed Prog",FALSE,
"Asst Supt, Ed Lead & Prof Dev",FALSE,
"Chief Officer, Academic",FALSE,
"Chief Officer, Human Resources",FALSE,
"Officer, Sr Exec Prof Standard",FALSE,
"General Director, Inst Ldrship",FALSE,
Deputy Director,FALSE,
"Gen Mgr, Student NutrSvcs",FALSE,
"Officer, Workforce Connections",FALSE,
"Gen Mgr, Emp Relations",FALSE,
"Gen Mgr, Strategy Management",FALSE,
"Director, General",FALSE,
"Director, General Adv Acadmcs",FALSE,
"Officer, Executive, HR Cmplnce",FALSE,
"Gen Mgr, IT",FALSE,
"Gen Mgr, Grwth Mgt Pln Siting",FALSE,
"Gen Mgr, Maintenance",FALSE,
"Gen Mgr, Transportation",FALSE,
"Principal, High",FALSE,TRUE
"Principal, Mid",FALSE,TRUE
"Officer, Communication & Media",FALSE,
"Gen Mgr, Budget/Fed Finance",FALSE,
"Gen Mgr, EmpBenefits Insurance",FALSE,
"Chief, Security & Emrgncy Mgmt",FALSE,
"Mgr, Legislative Services",FALSE,
"Principal, Elementary",FALSE,TRUE
"Gen Mgr, Personnel Services",FALSE,
"Mgr, Services, Support",FALSE,
"Director, Training Staff Dev",FALSE,
"General Director, Charter Schl",FALSE,
"Gen Mgr, Payroll",FALSE,
"Director, General ESE",FALSE,
"Gen Mgr, Procurement",FALSE,
"Principal, Adult-Tech",FALSE,TRUE
"Mgr, Instr Prog Support",FALSE,
"Mgr, IT Business Solutions",FALSE,
"Mgr, Personnel Services",FALSE,
"Principal, ESE Center",FALSE,TRUE
"Principal, Career Center",FALSE,TRUE
"Partner, Human Resources",FALSE,
Supv Social Studies,FALSE,
Supervisor,FALSE,
Supv School Health Svc,FALSE,
Supv Gifted,FALSE,
"Analyst, Systems, Proc",FALSE,
Supv ESE,FALSE,
Supv Music,FALSE,
Supv English,FALSE,
"Director, Assistant",FALSE,
Supv Headstart,FALSE,
Supv Elem Generalist,FALSE,
Supv Elem Reading,FALSE,
"Mgr, Strategic Data and Eval",FALSE,
"Mgr, District Accounting",FALSE,
Supv LEP Students,FALSE,
Supv School Readiness,FALSE,
Supv Physical Education Health,FALSE,
"Dept Mgr, Techngy Support",FALSE,
Supv Mathematics,FALSE,
"Dept Mgr, Sites and Utilities",FALSE,
Supv After School Prog,FALSE,
Supv EC Kindergarten,FALSE,
Supv Ed Materials Svc,FALSE,
Supv ESE Curriculum,FALSE,
"Administrator,Sr Project",FALSE,
"Mgr, Planning and Related Srvc",FALSE,
"Dept Mgr, Strategic Planning",FALSE,
"Capt, Security & Emergcy Mgt",FALSE,
"Mgr, IT WebApp/DataAnalytics",FALSE,
"Mgr, Auditing Services",FALSE,
"Mgr, IT Infrstrctr/Shrd Srvces",FALSE,
Supv Guidance,FALSE,
"Mgr, Customer Service",FALSE,
"Mgr, FTE Unit Compliance",FALSE,
"Administrator, Comm School",FALSE,
Supv Aut Spectrum Disorder,FALSE,
Accountant 4,FALSE,
"Analyst, Sr Systems",FALSE,
"Mgr, Data Quality & Governance",FALSE,
"Mgr, Accounting Services",FALSE,
"Mgr, Planning and Siting",FALSE,
Coordinator,FALSE,
"Spec, Technology",FALSE,
Supv Secondary Generalist,FALSE,
Supv FDLRS,FALSE,
"Asst Principal 2, High",FALSE,TRUE
"Dept Mgr, Stdnt PlcmntData Mgt",FALSE,
"Dept Mgr, HVAC/Energy Mgmnt",FALSE,
Supv FIMC Visually Impaired,FALSE,
Supv Elem Science,FALSE,
"Mgr, Benefits Department",FALSE,
"Mgr, Fleet",FALSE,
"Mgr, Investigator Prof Stds",FALSE,
"Mgr, Maint Unit",FALSE,
"Unit Mgr, Cust Operations",FALSE,
"Technical Coord, Facilities",FALSE,
"Specialist 3, Facilities Maint",FALSE,
ROTC Military Pay,FALSE,
"Asst Principal, Elem",FALSE,TRUE
Supv Science,FALSE,
"Dept Mgr, Media Outreach",FALSE,
Supv Psych Diagnostic Svc,FALSE,
Supv Staff Development,FALSE,
"Mgr, Comm and Elect CMMS IT",FALSE,
"Analyst, Sr Technology",FALSE,
"Administrator, ESE Center",FALSE,
Supv Library Media Svc K 5,FALSE,
Supv Language Arts,FALSE,
Supv Data Analysis,FALSE,
"Asst Principal, Adult/Tech",FALSE,TRUE
"Inspector, Constr",FALSE,
"Analyst, Sr Fiscal",FALSE,
"Asst Principal, Career Center",FALSE,TRUE
