zoned_school,school_level,current_school
Adams,Mid,ADAMS MIDDLE SCHOOL
Alafia,Elem,ALAFIA ELEMENTARY
Alexander,Elem,ALEXANDER ELEMENTARY
Alonso,High,ALONSO HIGH SCHOOL
Anderson,Elem,ANDERSON ELEMENTARY
Apollo Beach,Elem,APOLLO BEACH ELEMENTARY
Armwood,High,ARMWOOD HIGH SCHOOL
Bailey,Elem,BAILEY ELEMENTARY
Ballast Point,Elem,BALLAST POINT ELEMENTARY
Barrington,Mid,BARRINGTON MIDDLE SCHOOL
Bay Crest,Elem,
Bellamy,Elem,BELLAMY ELEMENTARY
Belmont,Elem,BELMONT ELEMENTARY SCHOOL
Benito,Mid,BENITO MIDDLE SCHOOL
Bevis,Elem,BEVIS ELEMENTARY
Bing,Elem,BING ELEMENTARY
Blake,High,BLAKE HIGH SCHOOL
Bloomingdale,High,BLOOMINGDALE HIGH SCHOOL
Boyette Springs,Elem,BOYETTE SPRINGS ELEMENTARY
Brandon,High,BRANDON HIGH SCHOOL
Brooker,Elem,BROOKER ELEMENTARY
Broward,Elem,BROWARD ELEMENTARY
Bryan,Elem,BRYAN PLANT CITY ELEMENTARY
Bryant,Elem,BRYANT ELEMENTARY
Buchanan,Mid,BUCHANAN MIDDLE SCHOOL
Buckhorn,Elem,BUCKHORN ELEMENTARY
Burnett,Mid,BURNETT MIDDLE SCHOOL
Burney,Elem,BURNEY ELEMENTARY
Burns,Mid,BURNS MIDDLE SCHOOL
Cannella,Elem,CANNELLA ELEMENTARY
Carrollwood,Elem,CARROLLWOOD K-8 SCHOOL
Carrollwood K-8,Mid,CARROLLWOOD K-8 SCHOOL
Chamberlain,High,CHAMBERLAIN HIGH SCHOOL
Chiaramonte,Elem,CHIARAMONTE ELEMENTARY
Chiles,Elem,CHILES ELEMENTARY
Choice,Elem,CHILES ELEMENTARY
Choice,Mid,SCHMIDT ELEMENTARY
Cimino,Elem,CIMINO ELEMENTARY
Citrus Park,Elem,CITRUS PARK ELEMENTARY
Clair Mel,Elem,CLAIR MEL ELEMENTARY
Clark,Elem,CLARK ELEMENTARY
Claywell,Elem,CLAYWELL ELEMENTARY
Cleveland,Elem,CLEVELAND ELEMENTARY
Coleman,Mid,COLEMAN MIDDLE SCHOOL
