file_name,role,event_file_type,report_file_number,date,synopsis_append,check_row,validation_link
10201_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-185426,May-03-2023,BATTERY - SIMPLE,3,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=6e37d78df3d9d434_3d903b1ba4a802f9&schid=8014&row=1&page=0
10201_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-177861,Apr-28-2023,INFORMATION- SCHOOL THREAT,3,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=6e37d78df3d9d434_3d903b1ba4a802f9&schid=8014&row=1&page=0
10201_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-165671,Apr-20-2023,BATTERY - SIMPLE,3,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=6e37d78df3d9d434_3d903b1ba4a802f9&schid=8014&row=1&page=0
10201_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-153651,Apr-12-2023,SEXUALLY CYBERHARASSMENT 1ST,3,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=6e37d78df3d9d434_3d903b1ba4a802f9&schid=8014&row=1&page=0
1101_Ray_Charles_Blvd_Redacted.pdf,Police Call,CAD Call,CP 2023-70649,Feb-18-2023,BUILDING CHECK,14,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=767312c6b473a4ad_3d903b1ba4a802f9&schid=8014&row=64&page=1
1101_Ray_Charles_Blvd_Redacted.pdf,Police Call,CAD Call,CP 2023-64907,Feb-14-2023,INTOXICATED PERSON,14,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=767312c6b473a4ad_3d903b1ba4a802f9&schid=8014&row=64&page=1
1125_spruce.pdf,NA,General Offense Report,GO 2023-140311,Apr-03-2023,DOCUMENTATION/INFORMATION ONLY,15,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=d26025791f18001a_3d903b1ba4a802f9&schid=8014&row=0&page=0
1125_spruce.pdf,NA,General Offense Report,GO 2023-91781,Mar-03-2023,CHILD ABUSE (BATTERY),15,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=d26025791f18001a_3d903b1ba4a802f9&schid=8014&row=0&page=0
1701_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-16540,Jan-11-2023,BATTERY ON LIC SECURITY OFC,27,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=fa3bb037263960e5_3d903b1ba4a802f9&schid=8014&row=12&page=0
1701_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-16462,Jan-11-2023,AFFRAY-PHYSICAL FIGHT,27,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=fa3bb037263960e5_3d903b1ba4a802f9&schid=8014&row=12&page=0
1724_S_Manhattan_Ave_Redacted.pdf,Police Call,Arrest,AB 2022-2202366,Aug-23-2022,BATTERY ON A SPECIFIED OFFICIAL OR EMPLOYEE GO 2022-340661,31,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=c02e0d6659a5780d_3d903b1ba4a802f9&schid=8014&row=14&page=0
1724_S_Manhattan_Ave_Redacted.pdf,Police Call,CAD Call,CP 2023-198261,May-12-2023,SCHOOL RESOURCE OFFICER ASSIGNMENT,31,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=c02e0d6659a5780d_3d903b1ba4a802f9&schid=8014&row=14&page=0
3930_W_Dr_MLK_Jr_Blvd_Redacted.pdf,NA,Arrest,AB 2022-2202743,Sep-30-2022,BATTERY GO 2022-402548,63,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=8bd3ff072a4350a0_3d903b1ba4a802f9&schid=8014&row=12&page=0
3930_W_Dr_MLK_Jr_Blvd_Redacted.pdf,NA,Arrest,AB 2022-2202403,Aug-26-2022,BATTERY ON DETENTION FACILITY STAFF GO 2022-344999,63,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=8bd3ff072a4350a0_3d903b1ba4a802f9&schid=8014&row=12&page=0
